shipment_id,order_date,origin_city,destination_city,transport_type,cargo_weight_kg,planned_days,actual_days,delivery_cost_rub,delivery_status
SHP009777,2025-11-28,Казань,Нижний Новгород,Авто,43.7,2,1,1764.86,В срок
SHP003015,2025-06-21,Новосибирск,Ростов-на-Дону,Железная дорога,112.1,7,7,5260.1,В срок
SHP005549,2025-08-14,Москва,Ростов-на-Дону,Авто,756.2,3,3,5187.19,В срок
SHP005247,2025-04-27,Санкт-Петербург,Уфа,Авто,36.1,5,5,3615.44,В срок
SHP000858,2025-09-25,Москва,Пермь,Железная дорога,191.9,4,4,3375.88,В срок
SHP008772,2025-04-18,Казань,Ростов-на-Дону,Железная дорога,125.1,4,6,2951.0,Задержка
SHP000293,2025-02-11,Санкт-Петербург,Самара,Авиа,447.3,2,2,12490.21,В срок
SHP008700,2025-03-14,Москва,Екатеринбург,Авиа,221.0,2,2,11671.21,В срок
SHP006181,2025-05-11,Москва,Казань,Авто,309.5,3,3,3066.65,В срок
SHP009393,2025-10-05,Новосибирск,Санкт-Петербург,Железная дорога,493.7,7,7,6046.56,В срок
SHP005355,2025-03-23,Екатеринбург,Самара,Авто,197.5,3,3,2857.44,В срок
SHP009293,2025-04-28,Москва,Пермь,Железная дорога,282.2,4,5,3463.28,Задержка
SHP002379,2025-07-12,Екатеринбург,Нижний Новгород,Авто,1052.6,3,7,5748.59,Задержка
SHP007157,2025-12-02,Москва,Уфа,Железная дорога,334.6,4,4,3711.21,В срок
SHP009416,2025-12-11,Новосибирск,Санкт-Петербург,Авиа,134.9,3,2,17539.86,В срок
SHP009273,2025-01-27,Москва,Уфа,Авиа,292.1,2,4,9849.0,Задержка
SHP008816,2025-06-05,Екатеринбург,Ростов-на-Дону,Авто,200.4,5,5,4815.94,В срок
SHP000707,2025-06-25,Казань,Санкт-Петербург,Авто,28.5,4,4,2752.15,В срок
SHP002869,2025-09-18,Москва,Новосибирск,Железная дорога,1800.0,6,5,7196.83,В срок
SHP003640,2025-03-04,Москва,Нижний Новгород,Железная дорога,629.1,3,3,2880.43,В срок
SHP006518,2025-09-14,Москва,Ростов-на-Дону,Железная дорога,266.5,4,4,2992.34,В срок
SHP009889,2025-04-19,Москва,Екатеринбург,Авто,147.8,4,4,3955.8,В срок
SHP003247,2025-09-17,Казань,Новосибирск,Авиа,130.5,3,3,13551.61,В срок
SHP003781,2025-03-23,Санкт-Петербург,Нижний Новгород,Железная дорога,261.1,4,4,3068.11,В срок
SHP005803,2025-01-10,Казань,Ростов-на-Дону,Авто,226.0,4,4,2891.31,В срок
