contact_id,contact_date,channel,campaign_type,customer_segment,device_type,ad_cost_rub,clicked,converted,revenue_rub
MKT004700,2025-11-25,Медийная реклама,Программа лояльности,Лояльный,Планшет,4.03,0,0,0.0
MKT000670,2025-03-04,Поисковая реклама,Ретаргетинг,Новый,Мобильное устройство,16.88,0,0,0.0
MKT004793,2025-12-18,Поисковая реклама,Программа лояльности,Повторный,Компьютер,17.73,0,0,0.0
MKT005055,2025-03-29,Медийная реклама,Ретаргетинг,Лояльный,Мобильное устройство,5.05,0,0,0.0
MKT001308,2025-01-25,Email,Новый продукт,Повторный,Мобильное устройство,4.04,0,0,0.0
MKT002915,2025-05-11,Push,Сезонная акция,Повторный,Мобильное устройство,1.1,0,0,0.0
MKT007160,2025-01-15,Email,Программа лояльности,Новый,Компьютер,1.43,0,0,0.0
MKT000408,2025-09-22,,Ретаргетинг,Повторный,Мобильное устройство,5.78,0,0,0.0
MKT009325,2025-06-01,Социальные сети,Имиджевая кампания,Повторный,Мобильное устройство,12.7,0,0,0.0
MKT001765,2025-01-09,Поисковая реклама,Ретаргетинг,Новый,Мобильное устройство,11.37,1,1,3000.08
MKT006590,2025-10-22,Медийная реклама,Программа лояльности,Повторный,Мобильное устройство,3.9,0,0,0.0
MKT004172,2025-10-24,Email,Ретаргетинг,Повторный,Мобильное устройство,3.49,0,0,0.0
MKT002722,2025-10-21,Email,Ретаргетинг,Новый,Мобильное устройство,1.69,0,0,0.0
MKT007078,2025-04-07,Поисковая реклама,Ретаргетинг,Новый,Компьютер,15.4,0,0,0.0
MKT003502,2025-11-27,Медийная реклама,Имиджевая кампания,Повторный,Мобильное устройство,7.39,0,0,0.0
MKT005094,2025-03-26,Социальные сети,Сезонная акция,Повторный,Мобильное устройство,12.59,0,0,0.0
MKT008208,2025-12-01,Медийная реклама,Ретаргетинг,Лояльный,Компьютер,6.24,0,0,0.0
MKT007709,2025-12-08,Социальные сети,Сезонная акция,Лояльный,Компьютер,8.03,0,0,0.0
MKT000441,2025-09-04,Push,Новый продукт,Новый,Мобильное устройство,1.68,0,0,0.0
MKT003671,2025-12-15,Социальные сети,Ретаргетинг,Лояльный,Мобильное устройство,6.62,0,0,0.0
MKT005894,2025-02-22,Социальные сети,Ретаргетинг,Новый,Компьютер,8.5,0,0,0.0
MKT009765,2025-01-21,Поисковая реклама,Новый продукт,Новый,Мобильное устройство,17.97,0,0,0.0
MKT009203,2025-01-02,Социальные сети,Имиджевая кампания,Лояльный,Компьютер,9.87,0,0,0.0
MKT001774,2025-07-31,Поисковая реклама,Ретаргетинг,Повторный,Мобильное устройство,14.66,1,0,0.0
MKT004785,2025-06-24,Email,Сезонная акция,Повторный,Компьютер,2.47,0,0,0.0
MKT007805,2025-03-02,Поисковая реклама,Новый продукт,Новый,Мобильное устройство,16.7,0,0,0.0
MKT006659,2025-12-23,Медийная реклама,Сезонная акция,Лояльный,Мобильное устройство,8.72,0,0,0.0
MKT000579,2025-07-19,Push,Имиджевая кампания,Лояльный,Мобильное устройство,1.89,0,0,0.0
MKT008786,2025-03-17,Email,Сезонная акция,Новый,Мобильное устройство,2.15,0,0,0.0
MKT001844,2025-01-30,Социальные сети,Программа лояльности,Повторный,Мобильное устройство,6.51,0,0,0.0
MKT008610,2025-05-07,Email,Новый продукт,Повторный,Планшет,3.18,0,0,0.0
MKT004674,2025-11-01,Push,Ретаргетинг,Новый,Мобильное устройство,10000.0,0,0,0.0
MKT004776,2025-07-22,Поисковая реклама,Ретаргетинг,Повторный,Мобильное устройство,17.23,0,0,0.0
MKT002067,2025-04-27,Социальные сети,Программа лояльности,Лояльный,Мобильное устройство,8.24,0,0,0.0
MKT002570,2025-07-27,Социальные сети,Сезонная акция,Повторный,Мобильное устройство,9.45,0,0,0.0
MKT009685,2025-08-22,Push,Программа лояльности,Новый,Мобильное устройство,1.36,0,0,0.0
MKT008340,2025-09-16,Push,Ретаргетинг,Лояльный,Компьютер,1.91,1,1,5440.69
MKT006678,2025-03-12,Социальные сети,Сезонная акция,Новый,Мобильное устройство,11.13,0,0,0.0
MKT003712,2025-11-05,Социальные сети,Ретаргетинг,Новый,Компьютер,6.57,0,0,0.0
MKT009329,2025-05-26,Медийная реклама,Ретаргетинг,Повторный,Мобильное устройство,6.65,0,0,0.0
MKT005188,2025-04-14,Email,Имиджевая кампания,Повторный,Мобильное устройство,2.67,1,0,0.0
MKT000367,2025-05-25,Email,Новый продукт,Повторный,Мобильное устройство,2.3,1,0,0.0
MKT006529,2025-04-23,Поисковая реклама,Сезонная акция,Новый,Планшет,20.6,0,0,0.0
MKT000933,2025-12-06,Email,Имиджевая кампания,Лояльный,Мобильное устройство,3.71,0,0,0.0
MKT001268,2025-02-03,Email,Новый продукт,Повторный,Компьютер,2.15,0,0,0.0
MKT004764,2025-11-16,Социальные сети,Ретаргетинг,Повторный,Компьютер,11.04,1,0,0.0
MKT002808,2025-04-07,Push,Новый продукт,Новый,Мобильное устройство,1.69,0,0,0.0
MKT002718,2025-02-14,Социальные сети,Программа лояльности,Новый,Компьютер,7.25,-1,0,0.0
MKT007122,2025-10-30,Медийная реклама,Сезонная акция,Новый,Мобильное устройство,8.82,0,0,0.0
MKT008318,2025-08-14,Медийная реклама,Сезонная акция,Лояльный,Мобильное устройство,9.5,0,0,0.0
MKT007491,2025-05-16,,Сезонная акция,Новый,Мобильное устройство,2.14,0,0,0.0
MKT003165,2025-02-21,Email,Сезонная акция,Лояльный,Мобильное устройство,1.89,1,1,3329.82
MKT006672,2025-07-06,Медийная реклама,Сезонная акция,Новый,Мобильное устройство,6.5,0,0,0.0
MKT005960,2025-07-13,Медийная реклама,Ретаргетинг,Повторный,Мобильное устройство,6.08,0,0,0.0
MKT007685,2025-12-26,Медийная реклама,Программа лояльности,Лояльный,Мобильное устройство,6.38,0,0,0.0
MKT009036,2025-01-28,Push,Ретаргетинг,Повторный,Мобильное устройство,1.24,0,0,0.0
MKT004642,2025-01-10,Email,Имиджевая кампания,Повторный,Мобильное устройство,2.3,0,0,0.0
MKT009706,2025-12-23,Социальные сети,Ретаргетинг,Повторный,Мобильное устройство,9.18,0,0,0.0
MKT008150,2025-01-09,Поисковая реклама,Ретаргетинг,Повторный,Компьютер,19.31,0,0,0.0
MKT002551,2025-04-07,Медийная реклама,Программа лояльности,Новый,Мобильное устройство,4.97,0,0,0.0
MKT006104,2025-06-09,Поисковая реклама,Новый продукт,Повторный,Мобильное устройство,31.35,0,0,0.0
MKT008009,2025-02-19,Поисковая реклама,Имиджевая кампания,Повторный,Компьютер,33.52,0,0,0.0
MKT007126,2025-06-07,Email,Программа лояльности,Новый,Мобильное устройство,1.34,0,0,0.0
MKT003992,2025-08-27,Поисковая реклама,Программа лояльности,Новый,Планшет,17.5,0,0,0.0
MKT005784,2025-07-05,Email,Ретаргетинг,Лояльный,Мобильное устройство,1.31,1,0,0.0
MKT005416,2025-09-29,Социальные сети,Имиджевая кампания,Лояльный,Мобильное устройство,7.77,0,0,0.0
MKT000888,2025-07-30,Push,Имиджевая кампания,Повторный,Мобильное устройство,1.58,0,0,0.0
MKT003033,2025-05-09,Push,Сезонная акция,Новый,Компьютер,1.98,0,0,0.0
