customer_id,age,monthly_income_rub,visits_per_month,avg_session_minutes,support_requests_3m,purchases_last_3m,days_since_last_purchase
CUST0001,51,111747,9,15.0,1,4,16
CUST0002,27,89180,9,16.0,2,4,26
CUST0003,40,161072,17,17.2,1,10,2
CUST0004,46,106413,9,10.1,0,4,27
CUST0005,26,30802,2,5.8,1,1,76
CUST0006,50,154548,20,21.8,0,8,11
CUST0007,23,90465,9,11.7,2,1,27
CUST0008,34,77953,7,11.3,2,6,22
CUST0009,37,41160,3,6.0,4,2,62
CUST0010,34,104537,9,12.6,1,4,27
CUST0011,30,66923,9,12.2,1,5,15
CUST0012,47,172250,16,23.2,1,6,1
CUST0013,37,89552,9,14.1,0,3,16
CUST0014,44,99955,15,18.5,0,8,7
CUST0015,32,76202,10,8.6,1,4,23
CUST0016,39,39971,1,5.6,1,0,78
CUST0017,45,108520,12,13.2,2,2,22
CUST0018,23,40504,4,5.2,2,1,73
CUST0019,56,207832,20,22.8,0,9,10
CUST0020,45,97852,11,12.6,1,4,3
CUST0021,24,97228,10,9.4,1,6,21
CUST0022,41,115869,9,9.8,1,4,14
CUST0023,54,165899,18,20.7,1,10,4
CUST0024,45,128162,20,22.4,0,9,9
CUST0025,26,95296,8,10.9,2,6,37
CUST0026,29,48901,3,5.7,2,1,62
CUST0027,38,95443,10,11.2,1,4,15
CUST0028,18,32594,1,5.6,1,1,81
CUST0029,29,47545,0,5.0,0,1,72
CUST0030,39,81994,10,10.8,1,5,20
CUST0031,30,105582,10,12.2,1,3,20
CUST0032,51,132714,18,21.3,2,7,11
CUST0033,27,46002,2,7.7,1,2,63
CUST0034,41,113122,9,11.6,0,4,13
CUST0035,48,134947,8,15.2,1,4,27
CUST0036,24,29417,1,6.5,1,1,72
CUST0037,23,53036,4,6.2,2,2,88
CUST0038,42,72442,10,9.0,1,6,30
CUST0039,20,39836,3,5.6,2,1,77
CUST0040,38,78002,9,11.6,1,6,23
CUST0041,30,85790,8,15.0,1,6,24
CUST0042,48,209688,13,15.0,0,9,9
CUST0043,46,106483,9,14.1,1,3,29
CUST0044,35,25000,1,3.7,1,1,51
CUST0045,65,211845,18,19.9,0,6,7
CUST0046,36,145188,19,22.1,1,7,10
CUST0047,37,67977,8,12.8,1,4,35
CUST0048,31,59404,4,3.7,1,2,57
CUST0049,41,88361,8,10.5,1,3,40
CUST0050,24,40326,2,1.5,1,0,41
CUST0051,26,53615,3,6.7,1,1,82
CUST0052,30,37054,1,3.7,2,1,61
CUST0053,42,114830,11,9.8,2,3,31
CUST0054,23,87254,6,14.1,2,3,26
CUST0055,44,89383,12,10.9,2,4,30
CUST0056,37,76623,10,13.4,1,6,34
CUST0057,33,90373,8,15.6,1,4,32
CUST0058,44,90967,9,9.1,1,6,30
CUST0059,24,25000,3,6.8,0,1,56
CUST0060,18,47528,3,5.1,0,0,89
CUST0061,28,102873,8,12.9,1,6,23
CUST0062,47,77831,8,12.0,0,4,31
CUST0063,37,101872,6,9.6,2,4,27
CUST0064,43,133371,9,10.2,1,5,20
CUST0065,40,78283,11,11.8,1,5,15
CUST0066,41,83980,8,11.1,1,4,30
CUST0067,34,96031,7,14.9,2,5,13
CUST0068,18,41781,3,6.3,2,1,93
CUST0069,25,40518,1,5.6,2,0,77
CUST0070,49,81319,10,7.9,2,5,23
CUST0071,34,39084,2,4.8,1,1,76
CUST0072,42,83298,13,8.6,2,6,18
CUST0073,54,165728,18,20.4,1,11,8
CUST0074,32,47891,3,5.1,1,0,49
CUST0075,24,25000,1,7.2,1,1,53
CUST0076,28,62932,4,5.0,1,1,79
CUST0077,35,40972,5,5.6,3,1,85
CUST0078,41,105816,9,9.2,0,2,12
CUST0079,37,53833,9,11.6,2,2,21
CUST0080,42,91833,10,13.7,1,5,14
CUST0081,33,89637,8,9.6,1,3,26
CUST0082,28,80939,8,14.9,1,4,27
CUST0083,61,168441,19,22.6,1,6,2
CUST0084,34,39163,1,3.6,0,1,69
CUST0085,34,40466,0,6.4,2,1,86
CUST0086,21,48743,1,4.1,3,1,84
CUST0087,48,86213,6,10.2,1,4,13
CUST0088,35,67985,8,10.4,1,5,23
CUST0089,22,31678,2,4.5,1,1,82
CUST0090,36,95464,9,8.8,0,4,31
CUST0091,34,40622,3,4.4,1,0,39
CUST0092,34,67816,6,11.6,1,4,27
