customer_id,age,monthly_income_rub,visits_per_month,avg_session_minutes,support_requests_3m,purchases_last_3m,days_since_last_purchase,monthly_spend_rub,premium_buyer
CUST0001,51,111747,9,15.0,1,4,16,6786.89,0
CUST0002,27,89180,9,16.0,2,4,26,5920.82,0
CUST0003,40,161072,17,17.2,1,10,2,12111.01,1
CUST0004,46,106413,9,10.1,0,4,27,7160.67,0
CUST0005,26,30802,2,5.8,1,1,76,754.07,0
CUST0006,50,154548,20,21.8,0,8,11,10412.1,1
CUST0007,23,90465,9,11.7,2,1,27,5146.59,1
CUST0008,34,77953,7,11.3,2,6,22,8133.46,0
CUST0009,37,41160,3,6.0,4,2,62,2830.53,0
CUST0010,34,104537,9,12.6,1,4,27,4421.24,0
CUST0011,30,66923,9,12.2,1,5,15,5788.71,0
CUST0012,47,172250,16,23.2,1,6,1,10128.03,1
CUST0013,37,89552,9,14.1,0,3,16,5720.52,0
CUST0014,44,99955,15,18.5,0,8,7,9485.21,0
CUST0015,32,76202,10,8.6,1,4,23,6865.67,0
CUST0016,39,39971,1,5.6,1,0,78,1055.72,0
CUST0017,45,108520,12,13.2,2,2,22,4492.41,0
CUST0018,23,40504,4,5.2,2,1,73,1498.19,0
CUST0019,56,207832,20,22.8,0,9,10,13777.05,1
CUST0020,45,97852,11,12.6,1,4,3,6780.79,0
CUST0021,24,97228,10,9.4,1,6,21,9104.59,0
CUST0022,41,115869,9,9.8,1,4,14,6070.18,1
CUST0023,54,165899,18,20.7,1,10,4,11677.83,1
CUST0024,45,128162,20,22.4,0,9,9,11917.14,1
CUST0025,26,95296,8,10.9,2,6,37,7853.91,0
CUST0026,29,48901,3,5.7,2,1,62,1338.92,0
CUST0027,38,95443,10,11.2,1,4,15,7313.93,0
CUST0028,18,32594,1,5.6,1,1,81,1323.59,0
CUST0029,29,47545,0,5.0,0,1,72,2250.51,0
CUST0030,39,81994,10,10.8,1,5,20,7070.72,0
CUST0031,30,105582,10,12.2,1,3,20,6101.68,0
CUST0032,51,132714,18,21.3,2,7,11,10089.22,1
CUST0033,27,46002,2,7.7,1,2,63,2275.82,0
CUST0034,41,113122,9,11.6,0,4,13,5654.25,1
CUST0035,48,134947,8,15.2,1,4,27,6687.68,0
CUST0036,24,29417,1,6.5,1,1,72,1806.2,0
CUST0037,23,53036,4,6.2,2,2,88,2730.63,0
CUST0038,42,72442,10,9.0,1,6,30,7888.24,0
CUST0039,20,39836,3,5.6,2,1,77,502.71,0
CUST0040,38,78002,9,11.6,1,6,23,6620.72,0
CUST0041,30,85790,8,15.0,1,6,24,7047.86,0
CUST0042,48,209688,13,15.0,0,9,9,12328.51,1
CUST0043,46,106483,9,14.1,1,3,29,5627.72,0
CUST0044,35,25000,1,3.7,1,1,51,500.0,0
CUST0045,65,211845,18,19.9,0,6,7,10076.04,1
CUST0046,36,145188,19,22.1,1,7,10,9758.2,1
CUST0047,37,67977,8,12.8,1,4,35,6069.97,0
CUST0048,31,59404,4,3.7,1,2,57,1536.11,0
CUST0049,41,88361,8,10.5,1,3,40,5038.38,0
CUST0050,24,40326,2,1.5,1,0,41,500.0,0
CUST0051,26,53615,3,6.7,1,1,82,1185.92,0
CUST0052,30,37054,1,3.7,2,1,61,1192.57,0
CUST0053,42,114830,11,9.8,2,3,31,5632.73,0
CUST0054,23,87254,6,14.1,2,3,26,4186.99,0
CUST0055,44,89383,12,10.9,2,4,30,5533.81,0
CUST0056,37,76623,10,13.4,1,6,34,6552.51,0
CUST0057,33,90373,8,15.6,1,4,32,3947.69,0
CUST0058,44,90967,9,9.1,1,6,30,6996.66,1
CUST0059,24,25000,3,6.8,0,1,56,747.45,0
CUST0060,18,47528,3,5.1,0,0,89,500.0,0
CUST0061,28,102873,8,12.9,1,6,23,7550.35,0
CUST0062,47,77831,8,12.0,0,4,31,5737.95,0
CUST0063,37,101872,6,9.6,2,4,27,7030.27,1
CUST0064,43,133371,9,10.2,1,5,20,6293.14,0
CUST0065,40,78283,11,11.8,1,5,15,6838.83,0
CUST0066,41,83980,8,11.1,1,4,30,4003.41,0
CUST0067,34,96031,7,14.9,2,5,13,7212.31,0
CUST0068,18,41781,3,6.3,2,1,93,2263.19,0
CUST0069,25,40518,1,5.6,2,0,77,500.0,0
CUST0070,49,81319,10,7.9,2,5,23,6591.96,0
CUST0071,34,39084,2,4.8,1,1,76,1835.5,0
CUST0072,42,83298,13,8.6,2,6,18,9078.25,0
CUST0073,54,165728,18,20.4,1,11,8,12342.38,1
CUST0074,32,47891,3,5.1,1,0,49,1470.44,0
CUST0075,24,25000,1,7.2,1,1,53,2536.9,0
CUST0076,28,62932,4,5.0,1,1,79,1815.34,0
CUST0077,35,40972,5,5.6,3,1,85,781.58,0
CUST0078,41,105816,9,9.2,0,2,12,5043.75,0
CUST0079,37,53833,9,11.6,2,2,21,5296.97,0
CUST0080,42,91833,10,13.7,1,5,14,7059.11,0
CUST0081,33,89637,8,9.6,1,3,26,3953.89,0
CUST0082,28,80939,8,14.9,1,4,27,3856.79,0
CUST0083,61,168441,19,22.6,1,6,2,10536.69,0
CUST0084,34,39163,1,3.6,0,1,69,926.14,0
CUST0085,34,40466,0,6.4,2,1,86,500.0,0
CUST0086,21,48743,1,4.1,3,1,84,1235.79,0
CUST0087,48,86213,6,10.2,1,4,13,4840.14,0
CUST0088,35,67985,8,10.4,1,5,23,5524.5,1
CUST0089,22,31678,2,4.5,1,1,82,500.0,0
CUST0090,36,95464,9,8.8,0,4,31,3874.29,1
CUST0091,34,40622,3,4.4,1,0,39,2024.55,0
CUST0092,34,67816,6,11.6,1,4,27,5299.41,0
CUST0093,50,72918,9,14.5,2,2,22,5477.93,0
CUST0094,39,86517,8,12.6,1,4,25,5080.95,0
CUST0095,44,26007,3,4.4,2,1,83,1961.31,0
CUST0096,47,52491,12,12.8,2,3,18,4992.89,1
CUST0097,40,107352,6,14.1,1,4,14,6446.93,0
CUST0098,24,47835,1,5.6,1,2,69,1483.01,0
CUST0099,34,46826,2,5.1,0,1,47,2512.89,0
CUST0100,64,136396,19,26.4,1,8,8,11140.83,1
CUST0101,43,162677,15,21.4,1,9,2,12454.44,1
CUST0102,32,85510,6,9.7,1,5,20,6498.36,0
CUST0103,28,40727,3,4.7,0,0,65,500.0,0
CUST0104,44,226739,15,21.6,0,8,7,10210.74,1
CUST0105,53,82744,9,14.3,1,3,8,5913.23,1
CUST0106,29,92025,8,10.8,1,2,31,3166.42,1
CUST0107,53,108037,9,9.9,1,4,24,5954.43,0
CUST0108,25,29022,2,6.9,1,1,61,1480.04,0
CUST0109,35,46559,1,6.5,1,1,76,973.08,0
CUST0110,42,148907,17,19.3,1,10,12,13908.82,1
CUST0111,38,71180,8,10.6,0,3,23,3741.03,0
CUST0112,21,67286,2,5.6,1,2,88,2557.53,0
CUST0113,28,31907,4,6.7,2,0,58,1557.92,0
CUST0114,46,64527,10,14.2,0,4,26,5383.84,0
CUST0115,25,39054,2,4.7,1,1,78,993.21,0
CUST0116,48,115056,20,21.0,1,11,1,10861.25,1
CUST0117,37,92722,8,13.5,2,5,22,4588.46,0
CUST0118,47,100312,7,13.5,2,6,18,6882.13,0
CUST0119,38,72122,10,13.3,1,4,22,6945.73,0
CUST0120,33,90175,11,8.7,0,2,24,3769.59,1
CUST0121,43,79735,9,11.3,1,5,19,6128.88,0
CUST0122,41,67648,10,9.6,2,5,26,6039.31,0
CUST0123,31,38662,3,6.8,1,1,55,831.11,0
CUST0124,43,118942,12,8.4,1,6,21,7845.19,0
CUST0125,28,32427,3,3.2,2,2,61,935.3,0
CUST0126,35,80694,6,13.0,1,3,20,5703.1,0
CUST0127,26,47571,1,5.5,2,1,78,581.91,0
CUST0128,30,25000,4,1.0,1,2,68,527.74,0
CUST0129,33,25000,4,5.4,1,1,58,2230.29,0
CUST0130,24,83542,7,14.8,0,6,24,5958.11,0
CUST0131,22,30528,3,3.7,0,1,47,981.17,0
CUST0132,41,217025,19,21.7,0,8,8,11574.6,1
CUST0133,28,85418,8,12.4,1,4,22,5039.29,1
CUST0134,28,41202,2,6.7,1,1,73,2892.73,0
CUST0135,44,59709,9,15.5,1,4,20,5516.15,0
CUST0136,22,39391,3,4.3,1,0,77,1203.56,0
CUST0137,54,167284,20,21.9,1,8,14,11123.95,1
CUST0138,41,94029,6,14.5,1,3,32,5495.35,0
CUST0139,52,100540,9,15.5,1,4,19,6731.29,0
CUST0140,27,34890,3,5.4,1,0,80,500.0,0
CUST0141,34,110931,8,13.5,1,4,29,5700.59,1
CUST0142,30,94713,11,13.5,2,3,14,4756.65,0
CUST0143,51,167658,16,23.3,0,11,16,13382.33,1
CUST0144,34,61036,8,9.6,0,6,26,6689.38,0
CUST0145,36,105432,9,13.2,1,4,14,4588.69,0
CUST0146,27,30424,2,5.6,0,0,78,940.63,0
CUST0147,27,51201,3,5.4,1,1,79,1769.46,0
CUST0148,39,103100,9,13.7,2,3,11,6890.77,0
CUST0149,24,78578,10,11.4,1,6,17,6331.97,0
CUST0150,29,46467,3,5.8,2,1,73,1611.81,0
CUST0151,53,179433,19,18.6,1,9,8,14019.34,1
CUST0152,50,192780,19,28.0,1,10,5,13211.24,1
CUST0153,32,44871,4,5.4,1,3,78,2240.12,0
CUST0154,30,104985,8,12.3,1,5,18,5764.49,0
CUST0155,30,44992,2,6.5,1,1,59,2782.84,0
CUST0156,42,109955,14,8.2,1,3,18,5067.24,0
CUST0157,19,45015,3,6.2,2,1,67,3389.24,0
CUST0158,23,73961,6,12.0,1,3,38,4871.93,0
CUST0159,30,74013,9,12.4,0,4,24,5451.36,0
CUST0160,33,87170,9,13.3,2,4,21,6144.07,1
CUST0161,24,49113,3,7.4,3,0,72,959.62,0
CUST0162,43,126375,19,18.7,1,8,4,10820.9,1
CUST0163,30,61672,3,6.2,1,0,94,500.0,0
CUST0164,26,41188,2,5.0,2,0,52,1708.59,0
CUST0165,33,64685,8,11.9,2,3,23,5117.2,0
CUST0166,46,71080,10,12.5,2,5,7,5673.38,0
CUST0167,46,177417,21,22.8,1,6,6,11055.42,1
CUST0168,52,188618,19,11.8,0,12,5,12268.6,1
CUST0169,27,51944,3,6.2,2,1,104,2092.35,0
CUST0170,51,194678,22,19.7,1,10,15,12701.7,1
CUST0171,25,37588,2,1.4,1,1,65,2861.66,0
CUST0172,48,94182,10,12.6,2,4,27,6212.66,0
CUST0173,29,62109,2,6.1,2,2,72,500.0,0
CUST0174,32,203218,19,24.0,0,7,8,11663.36,1
CUST0175,27,66906,3,7.1,2,2,69,874.76,1
CUST0176,31,33271,2,4.5,3,2,81,2070.24,0
CUST0177,39,71037,5,12.3,1,5,35,6868.16,0
CUST0178,45,177488,25,25.4,1,8,4,13207.36,1
CUST0179,46,162015,23,19.9,0,10,5,13117.51,1
CUST0180,35,102645,6,10.9,1,3,13,5734.88,0
CUST0181,47,114018,21,16.0,1,8,4,10108.7,1
CUST0182,43,180306,18,23.9,1,8,4,10342.14,1
CUST0183,35,52044,8,10.0,2,2,14,4652.27,0
CUST0184,22,36311,3,2.0,0,1,94,705.23,0
CUST0185,47,123710,8,12.0,2,2,31,4029.21,0
CUST0186,36,74671,7,12.6,2,4,24,5741.58,0
CUST0187,43,103109,14,11.2,1,5,30,6651.14,1
CUST0188,30,34551,2,5.6,2,1,46,500.0,0
CUST0189,27,87526,7,10.5,1,3,33,5307.12,0
CUST0190,24,38100,3,6.4,1,1,44,2017.76,0
CUST0191,46,212229,17,21.7,1,9,7,12772.16,1
CUST0192,35,41979,3,4.4,2,0,87,2460.67,0
CUST0193,18,37067,4,6.3,2,2,79,3069.27,0
CUST0194,58,174328,21,20.1,0,12,8,14981.05,1
CUST0195,23,42098,4,6.3,0,1,97,1287.04,0
CUST0196,38,48141,2,4.9,2,1,88,1676.4,0
CUST0197,39,87200,11,10.1,0,5,28,6956.8,0
CUST0198,45,185474,19,19.5,1,12,2,14654.35,1
CUST0199,26,38097,0,6.1,1,0,84,1612.5,0
CUST0200,29,42414,4,8.0,2,0,75,1397.04,0
CUST0201,41,126367,10,15.2,1,4,27,6007.15,0
CUST0202,56,200680,17,23.9,1,10,8,14036.44,1
CUST0203,49,94950,10,10.2,2,5,29,5024.14,0
CUST0204,34,44582,1,7.1,1,2,71,2239.48,0
CUST0205,21,33064,2,6.7,1,0,84,500.0,0
CUST0206,18,35889,2,6.9,1,2,62,1536.37,0
CUST0207,28,37031,2,7.5,3,0,71,716.19,0
CUST0208,37,90085,11,14.7,1,4,29,5611.12,0
CUST0209,26,33275,2,7.7,1,2,65,2321.47,0
CUST0210,29,59634,11,10.2,1,3,26,3943.46,0
CUST0211,41,73867,8,11.2,0,3,25,4489.99,0
CUST0212,37,79508,10,15.2,1,5,22,6847.81,0
CUST0213,30,26039,3,7.3,1,2,62,806.99,0
CUST0214,35,158765,22,15.3,0,7,7,10487.91,0
CUST0215,45,97924,9,12.9,0,5,16,7515.7,0
CUST0216,39,87180,10,5.7,1,4,24,6156.79,0
CUST0217,20,40727,3,5.7,2,2,57,2373.43,0
CUST0218,18,43616,2,4.9,1,1,98,500.0,0
CUST0219,38,209912,18,20.9,0,7,6,13660.92,1
CUST0220,31,100361,8,8.1,2,5,31,5740.11,1
CUST0221,31,45523,2,3.1,2,2,55,2637.36,0
CUST0222,44,103951,8,8.4,1,5,20,5851.18,0
CUST0223,52,103211,10,14.1,1,4,23,5913.37,0
CUST0224,51,152941,20,18.0,1,8,9,12021.02,1
CUST0225,27,42097,2,4.6,1,2,70,1349.82,0
CUST0226,55,182565,20,20.2,1,8,6,12618.5,1
CUST0227,21,34300,3,8.1,0,1,53,1297.22,0
CUST0228,34,81459,9,10.8,0,5,29,6964.96,0
CUST0229,40,100815,7,12.0,1,6,37,5455.97,0
CUST0230,21,50826,3,4.0,2,1,80,1620.94,0
CUST0231,27,40489,4,6.4,2,1,57,1262.24,0
CUST0232,44,105615,9,15.1,2,4,18,7569.14,1
CUST0233,48,156170,17,16.6,1,8,16,9765.9,1
CUST0234,42,114469,9,13.3,0,3,16,4272.65,1
CUST0235,32,130622,18,18.5,1,9,10,11765.72,0
CUST0236,47,172890,20,21.4,1,8,5,12050.39,1
CUST0237,32,79404,7,14.2,1,3,30,4342.89,0
CUST0238,46,81406,8,12.1,2,4,16,6020.6,0
CUST0239,38,41989,0,6.0,3,2,98,500.0,0
CUST0240,22,44018,1,4.5,1,2,83,2016.62,0
CUST0241,45,145600,21,24.5,1,8,0,10023.88,1
CUST0242,34,77988,12,14.8,1,4,23,6270.87,0
CUST0243,29,48534,4,3.7,2,1,37,500.0,0
CUST0244,42,91820,9,16.3,0,4,26,5499.93,0
CUST0245,25,112558,8,16.5,1,5,24,6926.91,0
CUST0246,48,173267,17,20.6,0,13,7,15808.25,1
CUST0247,40,68858,8,12.5,2,4,34,5681.06,0
CUST0248,37,128243,8,10.3,0,7,30,7899.37,0
CUST0249,43,121458,6,11.4,1,2,31,4464.41,0
CUST0250,56,84348,8,12.3,2,3,20,5851.87,0
CUST0251,21,70393,12,12.9,1,4,24,6459.45,0
CUST0252,42,172096,19,22.7,0,10,10,13316.52,1
CUST0253,37,76642,9,14.8,1,3,21,5298.28,0
CUST0254,29,46705,3,7.6,2,0,59,1098.28,0
CUST0255,20,38024,2,4.5,1,2,75,3980.47,0
CUST0256,35,90066,9,13.0,2,3,30,5257.78,0
