source_file;field_name;description
sales.csv;order_date;дата заказа
sales.csv;order_id;номер заказа
sales.csv;client_id;идентификатор клиента
sales.csv;product_id;идентификатор товара
sales.csv;quantity;количество
sales.csv;price;цена до скидки
sales.csv;discount_pct;процент скидки
sales.csv;order_amount;сумма заказа
sales.csv;sales_channel;канал продажи
sales.csv;delivery_city;город доставки
sales.csv;order_status;статус заказа
products.csv;product_id;идентификатор товара
products.csv;sku;артикул
products.csv;product_name;название товара
products.csv;category;категория
products.csv;brand;бренд
products.csv;purchase_price;закупочная цена
products.csv;list_price;цена продажи по прайсу
products.csv;product_status;статус товара
clients.csv;client_id;идентификатор клиента
clients.csv;registration_date;дата регистрации
clients.csv;city;город клиента
clients.csv;segment;сегмент
clients.csv;acquisition_channel;канал привлечения
clients.csv;email_permission;разрешение на email
regions.csv;city;город
regions.csv;region;регион
regions.csv;federal_district;федеральный округ
marketing_channels.csv;week_start;начало недели
marketing_channels.csv;channel;маркетинговый канал
marketing_channels.csv;spend_rub;расходы в рублях
marketing_channels.csv;clicks;клики
marketing_channels.csv;leads;заявки
marketing_channels.csv;source_system;система-источник
site_events_log.csv;event_datetime;дата и время события
site_events_log.csv;user_id;идентификатор пользователя сайта
site_events_log.csv;client_id;идентификатор клиента, если известен
site_events_log.csv;session_id;сессия
site_events_log.csv;event_name;название события
site_events_log.csv;page;страница
site_events_log.csv;device;устройство
site_events_log.csv;source_channel;канал источника
customer_reviews.csv;review_id;номер отзыва
customer_reviews.csv;order_id;номер заказа
customer_reviews.csv;client_id;идентификатор клиента
customer_reviews.csv;product_id;идентификатор товара
customer_reviews.csv;review_date;дата отзыва
customer_reviews.csv;rating;оценка
customer_reviews.csv;review_text;текст отзыва
customer_reviews.csv;review_source;источник отзыва
