week_start;channel;spend_rub;clicks;leads;source_system
2026-04-27;ads_yandex;24390;2071;216;ad_cabinet
2026-04-27;ads_vk;21055;1775;186;ad_cabinet
2026-04-27;email;1373;322;18;crm_campaigns
2026-04-27;referral;3440;668;33;crm_campaigns
2026-05-04;ads_yandex;53827;1409;31;ad_cabinet
2026-05-04;ads_vk;62397;2896;172;ad_cabinet
2026-05-04;email;566;659;70;crm_campaigns
2026-05-04;referral;6875;842;98;crm_campaigns
2026-05-11;ads_yandex;67678;2683;253;ad_cabinet
2026-05-11;ads_vk;62580;1372;133;ad_cabinet
2026-05-11;email;2385;701;70;crm_campaigns
2026-05-11;referral;2294;731;28;crm_campaigns
2026-05-18;Yandex Ads;24425;2976;284;ad_cabinet
2026-05-18;ads_vk;58296;2900;255;ad_cabinet
2026-05-18;email;1620;723;21;crm_campaigns
2026-05-18;referral;5640;741;17;crm_campaigns
2026-05-25;ads_yandex;59682;2005;46;ad_cabinet
2026-05-25;ads_vk;31911;3199;106;ad_cabinet
2026-05-25;email;2917;414;39;crm_campaigns
2026-05-25;referral;1938;285;9;crm_campaigns
2026-06-01;ads_yandex;43350;3789;443;ad_cabinet
2026-06-01;ads_vk;42789;2255;251;ad_cabinet
2026-06-01;email;1847;343;38;crm_campaigns
2026-06-01;referral;4447;382;36;crm_campaigns
2026-06-08;ads_yandex;30198;3494;110;ad_cabinet
2026-06-08;ads_vk;12934;776;74;ad_cabinet
2026-06-08;email;2348;772;71;crm_campaigns
2026-06-08;referral;3755;650;36;crm_campaigns
