order_date;order_id;client_id;product_id;quantity;price;discount_pct;order_amount;sales_channel;delivery_city;order_status
2026-05-19;O00001;C029;P006;2;2190;15;3723.0;email;СПб;returned
2026-06-11;O00002;C001;P017;3;2990;10;8073.0;email;Санкт-Петербург;cancelled
2026-05-07;O00003;C017;P005;1;3490;0;3490.0;ads_yandex;Екатеринбург;paid
2026-06-08;O00004;C046;P007;1;1290;0;1290.0;email;Санкт-Петербург;returned
2026-06-01;O00005;C058;P009;1;15900;0;15900.0;Yandex Ads;Воронеж;paid
2026-05-03;O00006;C022;P001;1;58900;15;50065.0;email;Нижний Новгород;paid
2026-05-29;O00007;C046;P018;2;2490;10;4482.0;site;Санкт-Петербург;paid
2026-05-05;O00008;C035;P005;1;3490;0;3490.0;ads_yandex;Екатеринбург;paid
2026-05-09;O00009;C020;P002;1;105000;0;105000.0;referral;Казань;paid
2026-05-16;O00010;C023;P004;2;21900;5;41610.0;ads_yandex;Санкт-Петербург;paid
2026-05-11;O00011;C057;P006;2;2190;0;4380.0;ads_yandex;Нижний Новгород;cancelled
2026-05-22;O00012;C052;P014;3;13900;15;35445.0;ads_vk;Новосибирск;paid
2026-05-11;O00013;C025;P004;1;21900;5;20805.0;ads_vk;Самара;paid
2026-05-30;O00014;C020;P012;1;890;0;890.0;site;Казань;cancelled
2026-05-13;O00015;C022;P013;1;7990;0;7990.0;email;Нижний Новгород;paid
2026-06-11;O00016;C026;P017;3;2990;10;8073.0;referral;Самара;paid
2026-05-08;O00017;C012;P009;2;15900;0;31800.0;site;Екатеринбург;paid
2026-06-08;O00018;C023;P014;3;13900;0;41700.0;Yandex Ads;Санкт-Петербург;returned
2026-06-02;O00019;C025;P004;2;21900;0;43800.0;email;Самара;paid
2026-05-28;O00020;C034;P001;2;58900;15;100130.0;ads_vk;Самара;paid
2026-05-28;O00021;C043;P003;1;39900;10;35910.0;referral;Москва;cancelled
2026-05-08;O00022;C033;P010;1;12900;15;10965.0;Yandex Ads;Казань;paid
2026-05-26;O00023;C036;P010;1;12900;0;12900.0;Yandex Ads;Воронеж;cancelled
2026-05-25;O00024;C040;P006;2;2190;0;4380.0;Yandex Ads;Екатеринбург;returned
2026-05-01;O00025;C019;P010;1;12900;5;12255.0;referral;Нижний Новгород;paid
2026-05-29;O00026;C044;P015;1;21900;10;19710.0;vk_ads;Казань;cancelled
2026-05-06;O00027;C033;P010;3;12900;15;32895.0;referral;Казань;paid
2026-05-16;O00028;C015;P010;1;12900;0;12900.0;site;Пермь;paid
2026-05-16;O00029;C040;P016;1;990;5;940.5;Yandex Ads;Екатеринбург;cancelled
2026-06-06;O00030;C046;P007;3;1290;5;3676.5;vk_ads;Санкт-Петербург;paid
2026-05-16;O00031;C042;P005;3;3490;0;10470.0;marketplace;Санкт-Петербург;paid
2026-05-15;O00032;C052;P006;3;2190;10;5913.0;vk_ads;Новосибирск;paid
2026-06-05;O00033;C059;P008;1;4590;5;4360.5;ads_yandex;Воронеж;paid
2026-06-03;O00034;C039;P018;1;2490;5;2365.5;Yandex Ads;Санкт-Петербург;returned
2026-05-29;O00035;C048;P006;2;2190;5;4161.0;email;Краснодар;paid
2026-06-10;O00036;C050;P009;2;15900;5;30210.0;ads_vk;Воронеж;paid
2026-05-29;O00037;C046;P003;1;39900;0;39900.0;email;Санкт-Петербург;paid
2026-05-21;O00038;C006;P018;1;2490;0;2490.0;ads_vk;Москва;paid
2026-05-10;O00039;C005;P007;2;1290;5;2451.0;referral;Самара;returned
2026-05-30;O00040;C004;P014;1;13900;5;13205.0;Yandex Ads;Нижний Новгород;returned
2026-05-02;O00041;C025;P019;2;2290;0;4580.0;referral;Самара;paid
2026-05-25;O00042;C035;P014;3;13900;15;35445.0;ads_vk;Екатеринбург;paid
2026-05-15;O00043;C028;P009;2;15900;0;31800.0;Yandex Ads;Самара;paid
2026-05-26;O00044;C054;P006;2;2190;0;4380.0;site;Пермь;paid
2026-06-07;O00045;C043;P019;1;2290;0;2290.0;Yandex Ads;Москва;paid
2026-05-30;O00046;C004;P006;1;2190;5;2080.5;referral;Нижний Новгород;paid
