event_datetime;user_id;client_id;session_id;event_name;page;device;source_channel
2026-06-06 07:38:00;U002;C026;S3024;product_view;/payment;tablet;email
2026-05-27 22:29:00;U082;C025;S2775;add_to_cart;/cart;desktop;referral
2026-05-29 02:22:00;U083;;S8606;search;/product;tablet;Yandex Ads
2026-05-06 15:26:00;U006;C009;S5986;support_open;/;desktop;ads_vk
2026-06-10 17:07:00;U018;C035;S7078;add_to_cart;/payment;tablet;Yandex Ads
2026-05-28 01:31:00;U020;C048;S2622;purchase_success;/checkout;mobile;email
2026-05-02 19:44:00;U048;C045;S8285;search;/support;mobile;marketplace
2026-06-01 12:56:00;U070;C024;S6876;page_view;/product;desktop;marketplace
2026-06-08 22:16:00;U059;;S4475;add_to_cart;/checkout;desktop;site
2026-06-06 03:23:00;U032;C022;S4362;page_view;/support;tablet;ads_vk
2026-05-28 00:29:00;U030;C014;S3417;checkout_start;/checkout;desktop;email
2026-06-09 09:36:00;U017;C010;S3858;page_view;/support;desktop;ads_yandex
2026-05-02 00:13:00;U031;C023;S1258;page_view;/;desktop;Yandex Ads
2026-05-25 06:37:00;U009;C008;S6931;product_view;/;mobile;ads_vk
2026-05-29 07:51:00;U085;C003;S8504;add_to_cart;/;desktop;vk_ads
2026-06-08 21:28:00;U055;C026;S9032;add_to_cart;/cart;desktop;marketplace
2026-05-15 23:49:00;U019;;S5505;add_to_cart;/checkout;tablet;referral
2026-05-18 16:02:00;U068;C039;S9282;add_to_cart;/;tablet;marketplace
2026-06-09 03:28:00;U084;C042;S4522;product_view;/catalog;mobile;referral
2026-06-07 23:45:00;U052;C030;S2557;page_view;/product;tablet;email
2026-05-18 08:50:00;U088;C010;S2099;page_view;/;desktop;Yandex Ads
2026-05-05 17:28:00;U048;C048;S1982;product_view;/checkout;tablet;referral
2026-05-31 19:49:00;U053;C008;S7929;search;/payment;desktop;email
2026-05-28 15:48:00;U046;;S9313;page_view;/payment;mobile;ads_vk
2026-06-08 21:27:00;U045;C007;S7022;page_view;/product;tablet;ads_vk
2026-06-07 01:42:00;U072;C028;S1430;add_to_cart;/payment;tablet;email
2026-05-02 15:37:00;U035;C012;S6062;search;/product;desktop;ads_yandex
2026-06-09 22:07:00;U073;C010;S2140;page_view;/payment;desktop;marketplace
2026-06-04 06:57:00;U028;C034;S8432;page_view;/product;mobile;referral
2026-06-05 16:30:00;U077;;S1861;page_view;/support;tablet;site
2026-06-01 00:09:00;U035;C006;S7947;product_view;/cart;mobile;email
2026-05-11 03:27:00;U066;;S8043;page_view;/payment;tablet;vk_ads
2026-05-25 07:33:00;U040;;S7475;support_open;/;desktop;ads_vk
2026-05-15 01:13:00;U018;C014;S5742;page_view;/;mobile;Yandex Ads
2026-05-09 07:54:00;U049;C009;S4770;product_view;/support;tablet;referral
2026-05-04 14:43:00;U006;C026;S8532;search;/support;mobile;Yandex Ads
2026-05-27 10:18:00;U082;C026;S2887;product_view;/product;desktop;vk_ads
2026-06-08 04:47:00;U047;;S2734;page_view;/checkout;mobile;marketplace
2026-05-19 08:16:00;U040;C056;S4630;page_view;/catalog;desktop;marketplace
2026-05-25 11:33:00;U025;C033;S6724;product_view;/support;tablet;ads_yandex
2026-05-12 02:04:00;U019;C007;S3842;add_to_cart;/support;tablet;marketplace
2026-05-09 09:29:00;U081;C050;S8354;add_to_cart;/checkout;tablet;referral
2026-06-09 15:59:00;U041;;S2118;product_view;/payment;mobile;email
2026-05-28 05:59:00;U046;C004;S6085;product_view;/;desktop;referral
2026-06-08 04:26:00;U010;C019;S2479;add_to_cart;/checkout;mobile;vk_ads
2026-05-27 17:52:00;U006;C036;S4084;page_view;/cart;tablet;ads_yandex
2026-05-04 03:34:00;U014;C029;S6626;support_open;/;tablet;ads_yandex
2026-05-03 02:45:00;U057;C016;S9586;product_view;/catalog;mobile;referral
2026-05-14 04:59:00;U053;C025;S1857;checkout_start;/payment;mobile;marketplace
2026-05-16 08:06:00;U072;C007;S5655;page_view;/support;tablet;ads_yandex
