client_id,client_type,registration_date,loyalty_level,client_city,is_active
501,B2C,2025-05-10,silver,Москва,yes
502,B2B,03.11.2024,gold,Санкт-Петербург,yes
503,b2c,2026/01/02,new,Казань,yes
504,B2B  ,2023-08-19,platinum,Москва,yes
505,B2C,19-08-2023,,Красногорск,yes
506,B2C,2025-12-01,bronze,Казань,no
507,B2B,bad_date,gold,Москва,yes
507,B2B,bad_date,gold,Москва,yes
508,B2C,2024-06-15,silver,Краснодар,yes
509,B2B,2024/07/22,gold,Новосибирск,yes
510,B2C,22.07.2024,bronze,Казань,yes
511,B2B,2025-02-10,platinum,Москва,yes
512,b2b,2025-03-12,gold,Красногорск,yes
513,B2C ,2025-04-25,silver,Краснодар,yes
514,B2C,2025-09-30,new,Санкт-Петербург,yes
515,B2B,2023-12-11,platinum,Москва,yes
516,B2C,2024-01-05,,Санкт-Петербург,yes
517,B2B,2022-10-18,gold,Красногорск,yes
518,B2C,2025-07-07,bronze,Казань,yes
519,B2B,2023/05/14,silver,Краснодар,no
520,B2C,14.05.2023,silver,Москва,yes
