order_id,order_date,client_id,product_id,region_id,channel,quantity,unit_price,discount
ORD-1001,2026-03-05,C038,P008,R09,offline,2,1995.0,0
ORD-1002,2026-05-31,C015,P008,R02,online,1,1805.0,0
ORD-1003,2026-03-26,C014,P003,R09, ONLINE ,4,1312.5,0.15
ORD-1004,2026-05-27,C052,P019,R07,offline,8,15900.0,0.15
ORD-1005,2026-01-25,C027,P004,,online,7,577.5,0.15
ORD-1006,2026-06-22,C047,P021,R06,Online,2,3895.0,0.15
ORD-1007,2026-03-05,C028,P007,R03, Offline ,4,14190.0,0.05
ORD-1008,2026-04-29,C007,P008,R01, Mobile_App ,2,2090.0,0.2
ORD-1009,2026-01-04,C032,P999,R08,offline,4,1250.0,0.15
ORD-1010,2026-04-13,C001,P029,R07, Offline ,1,2300.0,0.15
ORD-1011,2026-04-27,C013,P010,R05,offline,7,10890.0,0.05
ORD-1012,2026-01-15,C004,P019,R08, Mobile_App ,1,16695.0,0
ORD-1013,2026-05-16,C005,P006,R02,offline,-1,7505.0,0.05
ORD-1014,2026-04-14,C006,P004,R07, Mobile_App ,4,522.5,0.2
ORD-1015,2026-03-22,C016,P030,R05, PARTNER ,5,1600.0,0.1
ORD-1016,2026-02-03,C060,P022,R99,online,5,7150.0,0.1
ORD-1017,2026-04-28,C014,P020,R09, Offline ,2,1330.0,0.2
ORD-1018,2026-02-03,C024,P030,R05, ONLINE ,6,1520.0,0.05
ORD-1019,2026-04-23,C020,P027,R02, ONLINE ,5,17575.0,0.2
ORD-1020,2026-03-09,C019,P004,R04,partner,2,550.0,0.1
ORD-1021,2026-02-22,C058,P022,R01,Online,5,7150.0,0.1
ORD-1022,2026-06-12,C022,P014,R03, Offline ,5,21755.0,0
ORD-1023,2026-02-11,C001,P024,,Online,8,1078.0,0.2
ORD-1024,2026-06-26,C038,P029,R09, ONLINE ,3,2185.0,0.1
ORD-1025,2026-04-21,C058,P005,R01,partner,1,2205.0,0.1
ORD-1026,2026-02-23,C050,P022,R09, PARTNER ,4,0,0.1
ORD-1027,2026-06-08,C052,P024,R03, PARTNER ,3,980.0,0.05
ORD-1028,2026-01-07,C018,P006,R03,Online,6,8690.0,0.05
ORD-1029,2026-04-08,C013,P028,R08,partner,1,9350.0,0.05
ORD-1030,2026-03-20,C043,P027,R04, PARTNER ,4,18500.0,0
ORD-1031,2026-03-26,C042,P009,R09, PARTNER ,2,3664.5,0.1
ORD-1032,2026-06-23,C057,P027,R05, ONLINE ,6,17575.0,0
ORD-1033,2026-05-29,C028,P009,R06,partner,1,3315.5,0.2
ORD-1034,2026-04-22,,P020,R05,online,2,1540.0,0.2
ORD-1035,2026-04-22,C005,P001,R06,partner,4,1522.5,0.15
ORD-1036,2026-06-19,C020,P028,R07,partner,2,8925.0,0.2
ORD-1037,2026-04-14,C027,P023,R07, ONLINE ,5,1750.0,0.05
ORD-1038,2026-06-07,C054,P019,R01, Offline ,5,17490.0,0.2
ORD-1039,2026-03-15,C029,P007,R08,offline,7,13545.0,0.15
ORD-1040,not_a_date,C033,P016,R06,Online,3,427.5,0.1
ORD-1041,2026-03-02,C010,P022,R01,online,5,6500.0,0.05
ORD-1042,2026-03-04,C057,P016,R04, PARTNER ,2,495.0,0.15
ORD-1043,2026-05-07,C058,P013,R02, PARTNER ,4,14900.0,0
ORD-1044,2026-02-26,C016,P006,R02,mobile_app,8,7505.0,0.2
ORD-1045,2026-02-04,C040,P026,R09, PARTNER ,8,7560.0,0.15
ORD-1046,2026-05-21,C017,P015,, Offline ,3,990.0,0.15
ORD-1047,2026-05-14,C005,P016,R05,offline,4,472.5,0.15
ORD-1048,2026-03-11,C010,P011,R04, PARTNER ,6,4275.0,0.05
ORD-1049,2026-06-27,C027,P005,R06, Mobile_App ,4,1995.0,0.15
ORD-1050,2026-04-30,C025,P014,R01, PARTNER ,1,22900.0,0.15
ORD-1051,2026-05-03,C055,P001,R07, Mobile_App ,6,1522.5,0.15
ORD-1052,2026-05-20,C018,P026,R07,mobile_app,4,7920.0,1.2
ORD-1053,2026-01-08,C054,P013,R08, ONLINE ,6,16390.0,0.05
ORD-1054,2026-06-09,C037,P018,R01,Online,1,2420.0,0.2
ORD-1055,2026-06-14,C004,P014,R05, PARTNER ,3,25190.0,0.05
ORD-1056,2026-03-25,C049,P007,R07, Offline ,8,13545.0,0.1
ORD-1057,2026-04-18,C048,P009,R09,online,2,3839.0,0
ORD-1058,2026-03-31,C016,P008,R04,online,2,1805.0,0
ORD-1059,2026-06-09,C043,P005,R02,offline,4,2100.0,0.15
ORD-1060,2026-04-30,C039,P023,R02, ONLINE ,5,1837.5,0.05
ORD-1061,2026-03-21,C044,P999,R07, PARTNER ,1,577.5,0.2
ORD-1062,2026-02-20,C055,P003,R02,online,4,1187.5,0.1
ORD-1063,2026-03-30,C033,P018,R06,online,7,2310.0,0
ORD-1064,2026-04-18,C024,P027,R08, ONLINE ,8,17575.0,0.15
ORD-1065,2026-04-22,C028,P006,R05,partner,5,8690.0,0.15
ORD-1066,2026-03-04,C016,P027,R08, PARTNER ,2,19425.0,0.15
ORD-1067,2026-03-28,C032,P001,R04,partner,8,1522.5,0.05
ORD-1068,2026-03-08,C001,P011,R09,offline,5,4725.0,0.2
ORD-1069,2026-01-22,C049,P008,R04,mobile_app,7,2090.0,0.2
ORD-1070,2026/02/25,C006,P023,R05,offline,8,1925.0,0
ORD-1071,2026-04-14,C024,P023,R08, Mobile_App ,4,1837.5,0.2
ORD-1072,2026-05-16,C045,P012,R08, Offline ,7,9345.0,0.1
ORD-1073,2026-03-20,C021,P009,R02, Mobile_App ,4,3315.5,0.05
ORD-1074,2026-06-26,C018,P006,R09, Offline ,4,7900.0,0.15
ORD-1075,2026-01-26,C024,P027,R03, Offline ,4,19425.0,0.05
ORD-1076,2026-01-04,C004,P023,R09, Offline ,3,1837.5,0
ORD-1077,2026-06-28,C037,P005,R05,mobile_app,8,1995.0,0
ORD-1078,2026-05-03,C017,P015,R08,Online,6,900.0,0
ORD-1079,2026-01-17,C041,P013,, ONLINE ,8,14155.0,0.2
ORD-1080,2026-02-08,C008,P026,R09, PARTNER ,5,6840.0,0.05
ORD-1081,2026-06-05,C059,P020,R08, Offline ,4,1540.0,0.15
ORD-1082,2026-05-31,C048,P014,R02,offline,5,21755.0,0.2
ORD-1083,2026-06-10,C016,P007,R03, Mobile_App ,5,12255.0,0.05
ORD-1084,2026-01-20,C045,P006,R08, Offline ,1,8690.0,0.15
ORD-1085,2026-01-09,C005,P008,R04, Offline ,5,1995.0,0.15
ORD-1086,2026-06-10,C035,P019,R04, ONLINE ,4,17490.0,0
ORD-1087,2026-03-10,C011,P027,R05, Offline ,3,17575.0,0
ORD-1088,2026-04-23,C018,P004,R09, Mobile_App ,8,577.5,0.15
ORD-1089,2026-05-07,C048,P015,R99, Offline ,2,855.0,0.15
ORD-1090,2026-01-07,C037,P003,R01, ONLINE ,4,1187.5,0.1
ORD-1091,2026-05-01,C038,P017,R07,mobile_app,8,1260.0,0.05
ORD-1092,2026-01-24,C021,P016,R02, ONLINE ,6,495.0,0.1
ORD-1093,2026-03-26,C053,P014,R09,online,-3,24045.0,0.15
ORD-1094,2026-04-27,C008,P003,R07, Mobile_App ,6,1312.5,0.1
