client_id,client_name,segment,registration_date,loyalty_level
C001,Клиент 001,b2c,2025-10-16,regular
C002,Клиент 002,b2c,2024-09-07,regular
C003,Клиент 003,small_business,2025-11-23,regular
C004,Клиент 004,b2c,2025-08-27,new
C005,Клиент 005,b2c,2024-08-11,regular
C006,Клиент 006,b2c,2025-07-28,regular
C007,Клиент 007,b2c,2025-07-12,regular
C008,Клиент 008,small_business,2024-10-11,new
C009,Клиент 009,small_business,2024-06-12,regular
C010,Клиент 010,b2c,2024-06-08,regular
C011,Клиент 011,b2c,2024-04-14,new
C012,Клиент 012,small_business,2024-12-18,vip
C013,Клиент 013,small_business,2025-04-15,vip
C014,Клиент 014,b2c,2025-01-22,regular
C015,Клиент 015,small_business,2025-10-05,vip
C016,Клиент 016,b2c,2025-08-14,new
C017,Клиент 017,b2c,2025-11-08,regular
C018,Клиент 018,small_business,2024-03-22,vip
C019,Клиент 019,b2c,2025-01-24,regular
C020,Клиент 020,b2c,2025-01-08,regular
C021,Клиент 021,b2c,2025-11-17,vip
C022,Клиент 022,b2c,2025-10-25,regular
C023,Клиент 023,small_business,2025-06-30,new
C024,Клиент 024,b2c,2025-01-23,vip
C025,Клиент 025,small_business,2025-12-05,regular
C026,Клиент 026,b2c,2024-02-27,new
C027,Клиент 027,b2c,2024-11-19,new
C028,Клиент 028,enterprise,2025-08-03,regular
C029,Клиент 029,b2c,2025-11-02,vip
C030,Клиент 030,b2c,2025-10-20,regular
C031,Клиент 031,small_business,2024-09-09,regular
C032,Клиент 032,b2c,2025-08-21,regular
C033,Клиент 033,b2c,2025-01-05,vip
C034,Клиент 034,b2c,2025-06-05,regular
C035,Клиент 035,b2c,2024-04-22,new
C036,Клиент 036,b2c,2025-11-27,new
C037,Клиент 037,small_business,2025-01-25,regular
C038,Клиент 038,enterprise,2024-09-14,vip
C039,Клиент 039,small_business,2024-01-12,new
C040,Клиент 040,small_business,2025-07-03,regular
