order_id,order_date,client_id,product_id,region_id,channel,quantity,unit_price,discount
ORD-00001,2026-02-27,C008,P006,R03,partner,3,2037.96,0.05
ORD-00002,2026/04/24,C033,P003,R01, ONLINE ,2,18400.17,0.03
ORD-00003,2026/04/12,C011,P006,R05,online,8,1930.08,0.15
ORD-00004,16.04.2026,C024,P002,R07,Online,2,90102.71,0
ORD-00005,2026/01/11,C032,P012,R07,partner,5,9123.26,0.15
ORD-00006,2026/04/24,C017,P003,R05,internet,3,17169.98,0.03
ORD-00007,2026/04/28,C024,P007,R04,offline,3,16218.34,0
ORD-00008,2026/02/01,C038,P001,R05,web,2,48430.66,0
ORD-00009,2026-02-14,C003,P002,R07,web,3,90668.3,0.15
ORD-00010,2026/05/02,C009,P009,R06,Offline ,4,6232.72,0.15
ORD-00011,28.03.2026,C007,P004,R01,Online,2,25630.19,0
ORD-00012,2026-02-15,C026,P001,R06, ONLINE ,2,49422.54,0.15
ORD-00013,2026-03-03,C012,P007,R03,online,8,15751.84,0
ORD-00014,2026-01-04,C035,P011,R07,Offline ,8,4539.9,0
ORD-00015,23.04.2026,C031,P008,R02,Offline ,8,21292.69,0
ORD-00016,2026/02/26,C030,P005,R03, ONLINE ,10,3021.95,0.15
ORD-00017,2026/01/10,C019,P004,R02,online,5,24173.58,0.07
ORD-00018,2026/03/08,C038,P001,R04, ONLINE ,1,55833.68,0
ORD-00019,2026-03-30,C039,P002,R01, Partner ,2,100641.61,0.03
ORD-00020,13.01.2026,C003,P010,R05,internet,4,5153.23,0.07
ORD-00021,05.02.2026,C021,P004,R02,offline,1,26605.28,0.15
ORD-00022,2026/03/23,C001,P002,R04,partner,12,87581.84,0.03
ORD-00023,2026-04-25,C009,P005,R03,store,8,2741.55,0
ORD-00024,2026/04/16,C020,P009,R05,Online,3,6674.58,0.05
ORD-00025,2026-04-26,C017,P003,R01, Partner ,5,17007.69,0.05
ORD-00026,2026/03/31,C022,P004,R02,online,6,26022.5,0.05
ORD-00027,2026-02-07,C028,P002,R07, ONLINE ,1,98077.63,0.05
ORD-00028,03.04.2026,C029,P012,R05,partner,3,9097.63,0
ORD-00029,2026-03-14,C024,P001,R05,online,3,48188.02,0.07
ORD-00030,2026/02/03,C014,P006,R06, Partner ,1,1985.16,0.1
ORD-00031,2026-04-23,C010,P012,R02,online,12,10182.32,0.1
ORD-00032,02.05.2026,C022,P003,R07,internet,6,19048.5,0.03
ORD-00033,2026-04-24,C007,P003,R04,offline,6,17200.61,0.15
ORD-00034,2026/01/06,C015,P005,R02,internet,1,2723.06,0
ORD-00035,2026/03/30,C033,P006,R04, ONLINE ,2,1756.39,0.05
ORD-00036,2026/01/16,C017,P010,R01,Offline ,3,5286.49,0.07
ORD-00037,2026/02/21,C033,P010,R01,online,1,4728.22,0.1
ORD-00038,2026/04/05,C035,P009,R06,Online,5,6184.92,0.1
ORD-00039,2026/02/12,C022,P011,R05,partner,6,4451.19,0.05
ORD-00040,2026/02/23,C027,P005,R03,Offline ,2,2633.02,0.1
ORD-00041,16.03.2026,C012,P011,R05,internet,2,4529.6,0.05
ORD-00042,2026/03/18,C028,P004,R07,web,4,25854.35,0.15
ORD-00043,2026/04/28,C031,P009,R07,Online,1,6068.19,0.07
ORD-00044,2026-04-16,C020,P004,R02, Partner ,1,24112.25,0.15
ORD-00045,2026/04/26,C030,P002,R04,store,4,97283.92,0.1
ORD-00046,2026/03/27,C016,P007,R02,Offline ,1,17578.61,0
ORD-00047,2026/04/02,C012,P004,R07,store,3,26238.81,0
ORD-00048,2026/03/11,C030,P003,R06, Partner ,4,19296.11,0.15
ORD-00049,2026/04/19,C033,P012,R04,store,3,9171.01,0.15
ORD-00050,25.03.2026,C016,P005,R07,internet,5,2809.54,0.03
ORD-00051,2026-02-08,C005,P008,R06, ONLINE ,2,21850.95,0
ORD-00052,2026-04-01,C015,P003,R04,offline,5,16744.98,0.1
ORD-00053,2026-01-10,C030,P009,R04, Partner ,6,6385.06,0
ORD-00054,03.05.2026,C031,P007,R01,partner,2,16602.52,0.1
ORD-00055,2026-03-21,C035,P012,R07,online,3,9347.6,0.15
ORD-00056,30.03.2026,C022,P007,R06, Partner ,5,17820.73,0
ORD-00057,2026/03/19,C002,P009,R04, ONLINE ,4,6067.31,0.1
ORD-00058,05.02.2026,C012,P008,R01,Offline ,2,22336.92,0.07
ORD-00059,2026-04-19,C027,P005,R03,offline,3,2911.56,0
ORD-00060,2026-03-27,C005,P004,R07,online,5,27870.38,0.03
ORD-00061,19.01.2026,C010,P010,R02,store,4,5152.2,0.03
ORD-00062,2026-02-19,C017,P012,R07, ONLINE ,4,10419.72,0
ORD-00063,06.01.2026,C007,P005,R05,Offline ,4,2982.8,0.1
ORD-00064,2026/03/19,C013,P012,R01, Partner ,6,9300.9,0.05
ORD-00065,08.01.2026,C037,P002,R07,partner,3,96429.28,0
