order_id,order_date,client_id,product_id,region_id,channel,quantity,unit_price,discount,comment
ORD-1001,2026-02-03,C033,P014,R02,Retail ,1,15417.31,0.15,
ORD-1002,2026-01-26,C010,P010,R03,MarketPlace,5,5179.59,0.1,regular order
ORD-1003,2026-01-15,C024,P001,R03,Online,4,65077.84,0,
ORD-1004,2026-03-04,C005,P008,R05,MarketPlace,1,24490.57,0,regular order
ORD-1005,2026-02-03,C034,P005,R05,retail,5,11533.09,0.03,regular order
ORD-1006,2026-03-25,C024,P007,R04,Retail ,4,15743.45,0.15,repeat client
ORD-1007,2026-01-03,C038,P004,R05,Online,1,2473.12,0.05,regular order
ORD-1008,2026-01-30,C005,P001,R01,MarketPlace,6,53990.85,0,promo
ORD-1009,2026-03-04,C014,P003,R05,Online,3,979.6,0.15,repeat client
ORD-1010,2026-01-13,C007,P008,R06,retail,4,23813.49,0.03,promo
ORD-1011,2026-03-28,C007,P014,R01,retail,6,16884.39,0,promo
ORD-1012,2026-02-27,C009,P004,R04,Online,2,2473.79,0.1,promo
ORD-1013,2026-03-12,C007,P015,R01,marketplace,1,12236.64,0.07,
ORD-1014,2026-02-22,C032,P003,R04,Online,2,1113.57,0.03,repeat client
ORD-1015,2026-02-03,C030,P002,R03,retail,1,91929.98,0.07,repeat client
ORD-1016,2026-03-16,C035,P005,R01,marketplace,2,9818.13,0,promo
ORD-1017,2026-03-09,C011,P002,R01,Retail ,4,87979.91,0.1,
ORD-1018,2026-01-31,C026,P006,R01,Retail ,1,27611.6,0.15,regular order
ORD-1019,2026-03-16,C037,P002,R05, ONLINE ,4,107618.66,0.15,promo
ORD-1020,2026-02-03,C026,P007,R02,marketplace,3,15531.66,0.03,promo
ORD-1021,2026-02-28,C040,P015,R05,online,1,12531.99,0,
ORD-1022,2026-01-09,C016,P007,R03, ONLINE ,2,14728.84,0.05,regular order
ORD-1023,2026-03-20,C034,P015,R01,marketplace,6,14835.17,0.05,promo
ORD-1024,2026-01-15,C007,P004,R06,Retail ,2,3095.04,0.05,regular order
ORD-1025,2026-02-13,C014,P009,R06,marketplace,2,1669.05,0.15,promo
ORD-1026,2026-03-23,C028,P016,R03,online,1,10179.15,0,
ORD-1027,2026-01-21,C029,P011,R05,marketplace,6,4252.45,0.05,repeat client
ORD-1028,2026-03-11,C003,P001,R03,Retail ,6,54849.35,0.03,regular order
ORD-1029,2026-01-06,C023,P014,R02,marketplace,3,15239.18,0.05,regular order
ORD-1030,2026-03-21,C010,P004,R02,MarketPlace,5,2568.31,0.07,regular order
ORD-1031,2026-02-12,C027,P006,R06,MarketPlace,1,36350.22,0.03,regular order
ORD-1032,2026-02-18,C003,P009,R04,Online,6,1595.52,0,regular order
ORD-1033,2026-01-04,C013,P015,R04, ONLINE ,2,12680.98,0.03,promo
ORD-1034,2026-03-24,C033,P003,R04,marketplace,3,1126.74,0.05,promo
ORD-1035,2026-03-16,C017,P001,R01,online,3,54922.18,0.03,repeat client
ORD-1036,2026-03-19,C033,P012,R01,retail,3,290.57,0.07,regular order
ORD-1037,2026-03-08,C035,P009,R06,marketplace,4,1526.63,0,regular order
ORD-1038,2026-03-21,C021,P012,R06,MarketPlace,6,263.82,0.05,
ORD-1039,2026-02-11,C026,P010,R06, ONLINE ,6,4661.04,0.07,regular order
ORD-1040,2026-01-23,C040,P007,R05, ONLINE ,4,14310.19,0.15,repeat client
ORD-1041,2026-03-16,C039,P001,R06, ONLINE ,2,58881.37,0.07,repeat client
ORD-1042,2026-03-02,C011,P015,R06,online,2,13092.61,0.1,promo
ORD-1043,2026-02-09,C015,P011,R02,Online,2,3371.4,0.15,
ORD-1044,2026-01-10,C030,P002,R04,marketplace,4,94697.07,0.1,regular order
ORD-1045,2026-03-25,C001,P013,R01,MarketPlace,2,329.38,0.03,repeat client
ORD-1046,2026-03-01,C004,P008,R05,Online,6,19400.18,0.1,
ORD-1047,2026-03-09,C036,P015,R05, ONLINE ,4,11718.36,0.15,repeat client
ORD-1048,2026-01-21,C031,P014,R04, ONLINE ,5,19317.3,0.07,regular order
ORD-1049,2026-03-22,C016,P009,R03,retail,5,1959.49,0.07,
ORD-1050,2026-03-11,C006,P010,R02,Online,3,4238.47,0.05,regular order
ORD-1051,2026-01-09,C027,P013,R04, ONLINE ,6,351.33,0.03,repeat client
ORD-1052,2026-03-16,C002,P014,R05,retail,4,14861.14,0.07,repeat client
ORD-1053,2026-02-23,C035,P001,R06,marketplace,3,72297.57,0.07,regular order
