order_id,order_date,region,channel,category,product,quantity,unit_price,discount_pct,status
ORD-100001,2026-02-06,Санкт-Петербург,retail,Ноутбуки,Ноутбук Pro 15,3,76871.82,0,completed
ORD-100002,2026-03-13,Москва,online,Сетевое оборудование,Wi-Fi роутер,2,6051.89,0.05,completed
ORD-100003,2026-01-05,Краснодар,partner,Хранение данных,SSD 1 ТБ,2,9498.38,0,completed
ORD-100004,2026-01-16,Новосибирск,retail,Ноутбуки,Ноутбук Pro 15,4,75779.49,0,completed
ORD-100005,2026-06-24,Екатеринбург,online,Хранение данных,SSD 1 ТБ,3,9641.99,0.1,completed
ORD-100006,2026-02-20,Краснодар,online,Ноутбуки,Ноутбук Pro 15,1,76505.53,0,completed
ORD-100007,2026-06-01,Санкт-Петербург,retail,Сетевое оборудование,Wi-Fi роутер,2,6177.51,0.1,completed
ORD-100008,2026-05-11,Санкт-Петербург,online,Ноутбуки,Ноутбук Start 14,1,52087.19,0,completed
ORD-100009,2026-01-15,Санкт-Петербург,retail,Аксессуары,Клавиатура,1,3462.3,0.05,cancelled
ORD-100010,2026-06-20,Москва,online,Хранение данных,Внешний диск 2 ТБ,1,9832.89,0.15,completed
ORD-100011,2026-05-21,Москва,retail,Аксессуары,Клавиатура,1,3205.4,0.05,completed
ORD-100012,2026-05-28,,online,Смартфоны,Смартфон Plus,3,40517.6,0.05,completed
ORD-100013,2026-04-25,Краснодар,retail,Сетевое оборудование,Wi-Fi роутер,2,6540.27,0.15,completed
ORD-100014,2026-02-01,Екатеринбург,online,Ноутбуки,Ноутбук Pro 15,2,74190.61,0,completed
ORD-100015,2026-04-21,Краснодар,online,Хранение данных,SSD 1 ТБ,2,8964.76,0.05,completed
ORD-100016,2026-05-31,Москва,online,Хранение данных,Внешний диск 2 ТБ,4,9980.12,0.05,cancelled
ORD-100017,2026-05-30,Москва,online,Ноутбуки,Ноутбук Pro 15,2,78021.78,0.05,completed
ORD-100018,2026-05-24,Новосибирск,retail,Мониторы,Монитор 27,3,23631.87,0,cancelled
ORD-100019,2026-06-06,Казань,online,Ноутбуки,Ноутбук Pro 15,2,75170.09,0.05,completed
ORD-100020,2026-03-25,Краснодар,partner,Аксессуары,Гарнитура,4,4481.89,0.05,completed
ORD-100021,2026-04-05,Екатеринбург,retail,Хранение данных,SSD 1 ТБ,1,9031.6,0,completed
ORD-100022,2026-01-07,Казань,online,Ноутбуки,Ноутбук Pro 15,2,71430.77,0.05,cancelled
ORD-100023,2026-02-26,Новосибирск,online,Аксессуары,Мышь беспроводная,1,1739.52,0.15,completed
ORD-100024,2026-06-03,Краснодар,retail,Аксессуары,Мышь беспроводная,3,1801.07,0.05,completed
ORD-100025,2026-05-07,Краснодар,retail,Мониторы,Монитор 27,2,24813.77,0,completed
ORD-100026,2026-06-19,Санкт-Петербург,retail,  Ноутбуки ,Ноутбук Pro 15,3,73021.51,0,completed
ORD-100027,2026-01-17,Краснодар,online,Ноутбуки,Ноутбук Pro 15,1,70994.37,0,completed
ORD-100028,2026-03-06,Казань,online,Сетевое оборудование,Wi-Fi роутер,4,5742.42,0,completed
ORD-100029,2026-04-30,Екатеринбург,online,Мониторы,Монитор 24,1,15787.38,0.05,completed
ORD-100030,2026-05-06,Москва,online,Ноутбуки,Ноутбук Pro 15,5,79049.46,0,completed
ORD-100031,2026-03-08,Санкт-Петербург,online,Сетевое оборудование,Коммутатор,1,8979.93,0.2,completed
ORD-100032,2026-06-28,Москва,retail,Хранение данных,Внешний диск 2 ТБ,2,9721.46,0,completed
ORD-100033,2026-05-13,Краснодар,partner,Мониторы,Монитор 27,3,23589.4,0.1,completed
ORD-100034,2026-03-04,Краснодар,retail,Ноутбуки,Ноутбук Start 14,4,47897.04,0,completed
ORD-100035,2026-04-13,Москва,online,Периферия,Сканер,2,15588.17,0.1,completed
ORD-100036,2026-01-14,Казань,retail,Периферия,Сканер,2,16375.29,0.1,cancelled
ORD-100037,2026-06-07,Краснодар,partner,Ноутбуки,Ноутбук Start 14,1,47975.46,0,completed
ORD-100038,2026-04-14,Санкт-Петербург,retail,Периферия,Принтер,1,19843.15,0,completed
ORD-100039,2026-03-21,Краснодар,online,Хранение данных,SSD 1 ТБ,1,9766.13,0.1,completed
ORD-100040,2026-04-25,Екатеринбург,online,Мониторы,Монитор 27,2,26524.85,0,completed
ORD-100041,2026-03-21,Москва,retail,Периферия,Принтер,1,19852.77,0,completed
ORD-100042,2026-02-16,Казань,online,Аксессуары,Клавиатура,2,3310.72,0.05,completed
ORD-100043,2026-03-09,Санкт-Петербург,retail,Сетевое оборудование,Коммутатор,1,8452.11,0.15,completed
ORD-100044,2026-06-16,Краснодар,partner,Хранение данных,SSD 1 ТБ,1,9139.14,0,completed
ORD-100045,2026-01-06,Екатеринбург  ,online,Хранение данных,SSD 1 ТБ,2,9593.48,0,completed
ORD-100046,2026-05-28,Москва,partner,Смартфоны,Смартфон Plus,1,37356.88,0.05,completed
ORD-100047,2026-05-29,Новосибирск,retail,Хранение данных,Внешний диск 2 ТБ,2,10538.19,0,completed
ORD-100048,2026-05-20,Краснодар,retail,Периферия,Принтер,1,18634.83,0.15,completed
ORD-100049,2026-05-31,Новосибирск,retail,Хранение данных,Внешний диск 2 ТБ,1,10313.97,0.1,completed
ORD-100050,2026-04-19,Санкт-Петербург,partner,Периферия,Сканер,1,14560.88,0.2,completed
ORD-100051,2026-04-22,Москва,retail,Сетевое оборудование,Коммутатор,2,8562.06,0,completed
ORD-100052,2026-03-09,Краснодар,online,Периферия,Сканер,1,15009.27,0,completed
