customer_id,segment,registration_date,loyalty_level,is_premium
CUST-0001,b2b,2024-05-19,gold,0
CUST-0002,b2c,2025-08-03,bronze,0
CUST-0003,b2b,2024-01-28,gold,0
CUST-0004,b2b,2024-06-08,silver,0
CUST-0005,b2c,2025-04-16,bronze,0
CUST-0006,vip,2025-07-02,,1
CUST-0007,b2b,2025-02-01,gold,0
CUST-0008,b2b,2025-11-10,platinum,0
CUST-0009,b2c,2025-12-26,bronze,0
CUST-0010,b2c,2024-04-14,silver,0
CUST-0011,b2c,2026-01-22,silver,0
CUST-0012,vip,2025-04-30,gold,1
CUST-0013,b2c,2025-05-17,silver,0
CUST-0014,b2b,2024-03-16,gold,0
CUST-0015,b2c,2025-05-06,bronze,0
CUST-0016,b2c,2025-07-27,bronze,0
CUST-0017,b2c,2025-04-03,,0
CUST-0018,b2c,2024-03-07,bronze,0
CUST-0019,b2b,2025-02-17,silver,0
CUST-0020,b2c,2026-01-09,bronze,0
CUST-0021,b2b,2025-07-25,silver,0
CUST-0022,b2c,2024-04-18,bronze,0
CUST-0023,vip,2026-01-28,platinum,1
CUST-0024,b2b,2026-01-27,silver,0
CUST-0025,b2b,2024-05-13,gold,0
CUST-0026,b2c,2025-09-24,silver,0
CUST-0027,b2c,2024-11-17,bronze,0
CUST-0028,b2c,2025-04-14,bronze,0
CUST-0029,b2c,2024-12-17,silver,0
CUST-0030,b2b,2025-09-10,silver,0
CUST-0031,b2b,2026-02-26,silver,0
CUST-0032,vip,2025-09-20,platinum,1
CUST-0033,b2c,2026-01-05,gold,0
CUST-0034,b2c,2026-01-17,silver,0
CUST-0035,b2c,2024-03-12,bronze,0
CUST-0036,b2c,2024-07-19,silver,0
CUST-0037,b2c,2025-07-24,silver,0
CUST-0038,b2c,2025-04-11,bronze,0
CUST-0039,b2c,2024-02-09,silver,0
CUST-0040,b2c,2024-03-16,bronze,0
CUST-0041,b2c,2025-02-15,bronze,0
CUST-0042,b2b,2025-05-01,gold,0
CUST-0043,b2b,2024-05-12,silver,0
CUST-0044,b2c,2024-05-15,bronze,0
CUST-0045,b2b,2024-04-12,gold,0
CUST-0046,b2b,2025-03-22,platinum,0
CUST-0047,b2c,2024-01-07,silver,0
CUST-0048,b2c,2025-03-28,silver,0
CUST-0049,b2b,2025-01-10,platinum,0
CUST-0050,b2c,2025-01-03,bronze,0
CUST-0051,b2c,2025-06-20,,0
CUST-0052,b2c,2025-02-16,bronze,0
CUST-0053,b2b,2025-07-28,silver,0
CUST-0054,b2c,2025-08-26,silver,0
CUST-0055,b2b,2025-12-27,silver,0
CUST-0056,b2b,2025-09-23,gold,0
CUST-0057,b2c,2025-02-12,bronze,0
CUST-0058,b2c,2025-01-23,bronze,0
CUST-0059,b2c,2024-07-05,gold,0
CUST-0060,b2c,2025-04-18,bronze,0
CUST-0061,b2c,2024-04-19,bronze,0
CUST-0062,b2c,2026-01-05,,0
CUST-0063,b2c,2025-10-29,bronze,0
CUST-0064,b2b,2024-04-04,gold,0
CUST-0065,b2c,2025-09-12,bronze,0
CUST-0066,b2c,2024-04-02,bronze,0
CUST-0067,b2c,2025-07-23,bronze,0
