ticket_id,created_at,channel,priority,category,customer_segment,region,resolution_hours,sla_missed,satisfaction_score,first_response_minutes
TCK-00001,2026-01-05 09:33:00,web,medium,delivery,B2C,Central,2.83,0,4,51
TCK-00002,not_a_date,web,high,delivery,B2C,North-West,12.59,0,4,47
TCK-00003,2026-01-05 12:13:00,chat,medium,billing,B2C,North-West,7.41,0,5,13
TCK-00004,2026-01-05 16:08:00,web,high,technical,B2C,Volga,15.01,0,3,66
TCK-00005,2026-01-05 14:40:00,phone,medium,access,B2C,Central,11.37,0,5,57
TCK-00006,2026-01-05 11:24:00,chat,low,billing,B2C,Central,1.11,0,5,43
TCK-00007,2026-01-05 13:48:00,phone,medium,delivery,SMB,North-West,4.29,0,5,33
TCK-00008,2026-01-05 10:22:00,email,medium,billing,SMB,North-West,6.31,0,3,68
TCK-00009,2026-01-05 11:46:00,web,high,access,B2C,South,15.59,0,4,37
TCK-00010,2026-01-05 14:51:00,chat,low,technical,B2C,Central,3.73,0,5,35
TCK-00011,2026-01-06 19:10:00,chat,low,billing,B2C,Volga,1.6,0,4,46
TCK-00012,2026-01-06 17:29:00,web,medium,delivery,B2C,North-West,8.69,0,4,59
TCK-00013,2026-01-06 15:08:00,chat,medium,billing,SMB,South,2.39,0,5,34
TCK-00014,2026-01-07 10:57:00,chat,low,delivery,SMB,Central,5.82,0,5,23
TCK-00015,2026-01-07 19:53:00,email,medium,product,Enterprise,Siberia,9.52,0,4,98
TCK-00016,2026-01-07 21:14:00,chat,low,delivery,B2C,South,9.99,0,5,28
TCK-00017,2026-01-07 14:30:00,web,low,technical,SMB,South,5.34,0,5,56
TCK-00018,2026-01-08 09:23:00,phone,medium,billing,B2C,South,4.58,0,4,79
TCK-00019,2026-01-08 18:08:00,web,low,technical,SMB,Central,7.16,0,4,39
TCK-00020,2026-01-08 11:47:00,chat,medium,billing,B2C,Siberia,0.46,0,4,25
TCK-00021,2026-01-08 21:44:00,phone,high,technical,B2C,Central,26.76,1,4,48
TCK-00022,2026-01-08 10:17:00,web,low,billing,Enterprise,Central,6.45,0,5,50
TCK-00023,2026-01-09 20:14:00,chat,high,product,B2C,Central,24.22,1,3,21
TCK-00024,2026-01-09 19:54:00,web,low,product,B2C,Siberia,1.82,0,4,55
TCK-00025,2026-01-09 18:23:00,email,medium,technical,SMB,North-West,10.06,0,5,63
TCK-00026,2026-01-09 10:41:00,email,low,technical,B2C,North-West,4.08,0,5,126
TCK-00027,2026-01-10 16:43:00,phone,high,billing,SMB,Central,17.78,0,4,33
TCK-00028,2026-01-10 18:35:00,chat,medium,delivery,Enterprise,Central,4.0,0,5,55
TCK-00029,2026-01-10 11:35:00,chat,medium,delivery,SMB,North-West,3.64,0,5,61
TCK-00030,2026-01-10 19:45:00,chat,medium,access,B2C,South,5.74,0,5,32
TCK-00031,2026-01-10 21:56:00,web,medium,technical,SMB,Volga,-1.0,0,5,78
TCK-00032,2026-01-10 14:35:00,web,low,product,SMB,Central,4.2,0,3,26
TCK-00033,2026-01-10 15:06:00,chat,medium,technical,Enterprise,Siberia,4.76,0,5,37
TCK-00034,2026-01-10 19:11:00,web,low,billing,B2C,Siberia,3.55,0,5,52
TCK-00035,2026-01-11 14:02:00,phone,high,delivery,SMB,Siberia,5.64,0,4,79
TCK-00036,2026-01-11 09:42:00,web,low,delivery,B2C,Central,14.22,0,5,36
TCK-00037,2026-01-11 13:58:00,web,medium,billing,B2C,Central,3.77,0,5,60
TCK-00038,2026-01-11 14:56:00,web,low,access,SMB,Volga,7.98,0,5,90
TCK-00039,2026-01-12 14:28:00,email,medium,technical,B2C,North-West,14.73,0,4,87
TCK-00040,2026-01-12 15:37:00,phone,low,delivery,B2C,North-West,20.01,0,5,56
TCK-00041,2026-01-12 13:29:00,chat,medium,delivery,B2C,Siberia,7.23,0,4,41
TCK-00042,2026-01-12 14:49:00,email,low,technical,SMB,Central,1.62,0,3,82
TCK-00043,2026-01-12 18:41:00,chat,high,product,SMB,Central,1.92,0,5,33
TCK-00044,2026-01-12 21:33:00,chat,low,billing,SMB,South,2.07,0,4,60
TCK-00045,2026-01-12 12:10:00,email,medium,technical,B2C,Central,4.94,0,4,106
TCK-00046,2026-01-13 12:28:00,email,low,technical,B2C,Siberia,6.57,0,4,89
TCK-00047,2026-01-13 08:23:00,web,low,technical,B2C,Central,,0,5,71
TCK-00048,2026-01-13 15:00:00,email,high,technical,B2C,Volga,12.4,0,5,68
TCK-00049,2026-01-13 16:46:00,chat,medium,product,SMB,South,2.3,0,4,13
