ticket_id,created_at,created_date,week_start,month_start,hour,weekday_number,weekday_name,is_weekend,period_part,customer_id,region_id,region_name_clean,macro_region_clean,support_team,channel,category,priority,first_response_min,first_response_bucket,resolution_hours,resolution_bucket,sla_breached,sla_status,satisfaction_score,satisfaction_band,segment,registration_date,loyalty_level,is_premium,record_count,channel_hypothesis_group,priority_hypothesis_group,sla_hypothesis_group
TCK-000907,2026-03-31 17:13:00,2026-03-31,2026-03-30,2026-03-01,17,2,Вторник,0,Первая половина,CUST-0204,R02,Санкт-Петербург,Северо-Запад,team_b,chat,technical,normal,1.0,До 5 мин,34.7,24–48 ч,1,SLA нарушен,3.8,Средняя,b2c,2025-09-01,silver,0,1,chat,normal,sla_breached
TCK-000618,2026-05-07 21:14:00,2026-05-07,2026-05-04,2026-05-01,21,4,Четверг,0,Вторая половина,CUST-0073,R01,Москва,Центр,team_a,web_form,delivery,normal,38.9,30–60 мин,12.2,8–24 ч,0,SLA выполнен,4.3,Средняя,b2b,2025-12-29,silver,0,1,other,normal,sla_ok
TCK-000939,2026-05-08 08:20:00,2026-05-08,2026-05-04,2026-05-01,8,5,Пятница,0,Вторая половина,CUST-0043,R02,Санкт-Петербург,Северо-Запад,team_b,chat,account,low,3.9,До 5 мин,3.8,До 8 ч,0,SLA выполнен,5.0,Высокая,b2b,2024-05-12,silver,0,1,chat,other,sla_ok
TCK-000941,2026-05-08 16:31:00,2026-05-08,2026-05-04,2026-05-01,16,5,Пятница,0,Вторая половина,CUST-0071,R01,Москва,Центр,team_a,chat,login,normal,3.5,До 5 мин,4.0,До 8 ч,0,SLA выполнен,4.5,Высокая,b2c,2025-07-29,silver,0,1,chat,normal,sla_ok
TCK-000304,2026-04-18 19:00:00,2026-04-18,2026-04-13,2026-04-01,19,6,Суббота,1,Первая половина,CUST-0230,R06,Ростов-на-Дону,Юг,team_f,web_form,technical,normal,50.5,30–60 мин,21.9,8–24 ч,1,SLA нарушен,3.3,Средняя,b2c,2024-08-01,bronze,0,1,other,normal,sla_breached
TCK-000856,2026-04-15 18:36:00,2026-04-15,2026-04-13,2026-04-01,18,3,Среда,0,Первая половина,CUST-0005,R05,Новосибирск,Сибирь,team_e,phone,technical,normal,9.8,5–15 мин,6.4,До 8 ч,0,SLA выполнен,4.8,Высокая,b2c,2025-04-16,bronze,0,1,other,normal,sla_ok
TCK-000176,2026-04-22 09:39:00,2026-04-22,2026-04-20,2026-04-01,9,3,Среда,0,Вторая половина,CUST-0006,R03,Казань,Поволжье,team_c,email,account,normal,13.1,5–15 мин,6.7,До 8 ч,0,SLA выполнен,4.6,Высокая,vip,2025-07-02,,1,1,email,normal,sla_ok
TCK-000343,2026-04-22 11:02:00,2026-04-22,2026-04-20,2026-04-01,11,3,Среда,0,Вторая половина,CUST-0225,R01,Москва,Центр,team_a,email,payment,low,148.1,Более 60 мин,8.4,8–24 ч,0,SLA выполнен,3.0,Средняя,b2c,2025-10-04,gold,0,1,email,other,sla_ok
TCK-001122,2026-06-05 15:26:00,2026-06-05,2026-06-01,2026-06-01,15,5,Пятница,0,Вторая половина,CUST-0066,R04,Екатеринбург,Урал,team_d,chat,technical,normal,6.8,5–15 мин,15.2,8–24 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-04-02,bronze,0,1,chat,normal,sla_ok
TCK-001229,2026-04-27 19:02:00,2026-04-27,2026-04-27,2026-04-01,19,1,Понедельник,0,Вторая половина,CUST-0239,R04,Екатеринбург,Урал,team_d,chat,login,normal,3.6,До 5 мин,227.7,Более 72 ч,1,SLA нарушен,5.0,Высокая,b2c,2024-02-25,bronze,0,1,chat,normal,sla_breached
