ticket_id,created_at,customer_id,region_id,channel,category,priority,first_response_min,resolution_hours,sla_breached,satisfaction_score
TCK-000907,2026-03-31 17:13:00,CUST-0204,R02,chat,technical,normal,1.0,34.7,1,3.8
TCK-000618,2026-05-07 21:14:00,CUST-0073,R01,web_form,delivery,normal,38.9,12.2,0,4.3
TCK-000939,2026-05-08 08:20:00,CUST-0043,R02,chat,account,low,3.9,3.8,0,5.0
TCK-000941,2026-05-08 16:31:00,CUST-0071,R01,chat,login,normal,3.5,4.0,0,4.5
TCK-000304,2026-04-18 19:00:00,CUST-0230,R06,web_form,technical,normal,50.5,21.9,1,3.3
TCK-000856,2026-04-15 18:36:00,CUST-0005,R05,phone, technical ,normal,9.8,6.4,0,4.8
TCK-000176,2026-04-22 09:39:00,CUST-0006,R03,email,account,normal,13.1,6.7,0,4.6
TCK-000343,2026-04-22 11:02:00,CUST-0225,R01,email,payment,low,148.1,8.4,0,3.0
TCK-001122,2026-06-05 15:26:00,CUST-0066,R04,chat,technical,normal,6.8,15.2,0,5.0
TCK-001229,2026-04-27 19:02:00,CUST-0239,R04,chat,login,normal,3.6,227.7,1,5.0
TCK-000585,2026-06-01 13:25:00,CUST-0017,R08,chat,technical,normal,5.4,44.6,1,3.2
TCK-000549,2026-04-29 11:28:00,CUST-0246,R01,chat,technical,critical,1.0,81.3,1,2.6
TCK-000311,2026-04-17 09:21:00,CUST-0264,R05,email,account,high,28.3,4.8,0,5.0
TCK-000567,2026-04-21 10:41:00,CUST-0189,R07,phone,technical,normal,12.8,47.0,1,3.2
TCK-000562,2026-03-20 09:07:00,CUST-0205,,email,technical,high,16.4,92.5,1,1.0
TCK-000651,2026-05-08 09:30:00,CUST-0187,R01,web_form,technical,normal,4.2,65.3,1,2.3
TCK-001252,2026-04-01 17:52:00,CUST-0211,R08,email,payment,high,17.6,41.9,1,3.0
TCK-001091,2026-03-28 15:38:00,CUST-0057,R01,email,login,high,13.2,4.2,0,
TCK-001347,2026-05-21 16:15:00,CUST-0040,R01,phone,technical,normal,4.5,40.8,1,3.2
TCK-000987,2026-06-03 14:49:00,CUST-0239,R03,phone,payment,normal,11.6,10.5,0,4.4
TCK-001092,2026-03-06 15:08:00,CUST-0114,R05,email,login,normal,32.0,9.2,0,4.4
TCK-000454,2026-04-08 19:06:00,CUST-0296,R01,chat,technical,low,9.1,3.9,0,5.0
TCK-000472,2026-06-03 09:47:00,CUST-0065,R01,chat,technical,normal,8.7,20.4,0,5.0
TCK-000325,2026-04-20 15:33:00,CUST-0174,R05,email,login,normal,37.3,2.4,0,4.5
TCK-000428,2026-04-16 14:57:00,CUST-0300,R03,web_form,refund,high,13.5,38.0,1,2.9
TCK-001217,2026-06-08 11:36:00,CUST-0039,R01,chat,technical,normal,3.4,11.9,0,5.0
TCK-000462,2026-04-14 17:26:00,CUST-0183,R02,email,account,critical,34.3,7.3,0,4.0
