product_id,product_name,category,subcategory,base_price,unit_cost,seasonality_type
P0001,Смартфоны 1,Электроника,Смартфоны,22200.0,13384.07,sporadic
P0002,Смартфоны 2,Электроника,Смартфоны,17880.0,9053.89,sporadic
P0003,Смартфоны 3,Электроника,Смартфоны,21410.0,14989.1,stable
P0004,Смартфоны 4,Электроника,Смартфоны,8910.0,5201.87,sporadic
P0005,Смартфоны 5,Электроника,Смартфоны,15380.0,10925.54,stable
P0006,Аксессуары 1,Электроника,Аксессуары,4750.0,3017.6,stable
P0007,Аксессуары 2,Электроника,Аксессуары,25830.0,16966.85,seasonal
P0008,Аксессуары 3,Электроника,Аксессуары,6800.0,5112.21,sporadic
P0009,Аксессуары 4,Электроника,Аксессуары,22480.0,12015.53,stable
P0010,Аксессуары 5,Электроника,Аксессуары,2830.0,1480.66,seasonal
P0011,Наушники 1,Электроника,Наушники,20440.0,15348.45,stable
P0012,Наушники 2,Электроника,Наушники,7110.0,4347.59,stable
P0013,Наушники 3,Электроника,Наушники,3610.0,2213.64,stable
P0014,Наушники 4,Электроника,Наушники,16550.0,9969.76,seasonal
P0015,Наушники 5,Электроника,Наушники,18030.0,10231.35,seasonal
P0016,Умный дом 1,Электроника,Умный дом,24210.0,14247.44,stable
P0017,Умный дом 2,Электроника,Умный дом,17150.0,8903.09,stable
P0018,Умный дом 3,Электроника,Умный дом,2550.0,1785.86,seasonal
P0019,Умный дом 4,Электроника,Умный дом,18280.0,12770.48,stable
P0020,Умный дом 5,Электроника,Умный дом,12440.0,6458.14,stable
P0021,Кухня 1,Дом и интерьер,Кухня,3210.0,1964.22,seasonal
P0022,Кухня 2,Дом и интерьер,Кухня,4330.0,2847.93,seasonal
P0023,Кухня 3,Дом и интерьер,Кухня,2280.0,1288.44,stable
P0024,Кухня 4,Дом и интерьер,Кухня,1560.0,842.53,stable
P0025,Кухня 5,Дом и интерьер,Кухня,5700.0,3109.37,stable
P0026,Текстиль 1,Дом и интерьер,Текстиль,960.0,539.72,seasonal
P0027,Текстиль 2,Дом и интерьер,Текстиль,2270.0,1587.85,seasonal
P0028,Текстиль 3,Дом и интерьер,Текстиль,1420.0,1005.25,stable
P0029,Текстиль 4,Дом и интерьер,Текстиль,430.0,217.24,seasonal
P0030,Текстиль 5,Дом и интерьер,Текстиль,1690.0,887.51,stable
P0031,Хранение 1,Дом и интерьер,Хранение,640.0,431.98,stable
P0032,Хранение 2,Дом и интерьер,Хранение,1310.0,739.39,seasonal
P0033,Хранение 3,Дом и интерьер,Хранение,1230.0,620.59,stable
P0034,Хранение 4,Дом и интерьер,Хранение,7990.0,5867.88,seasonal
P0035,Хранение 5,Дом и интерьер,Хранение,920.0,691.26,seasonal
P0036,Освещение 1,Дом и интерьер,Освещение,3730.0,2259.71,stable
P0037,Освещение 2,Дом и интерьер,Освещение,540.0,395.67,stable
P0038,Освещение 3,Дом и интерьер,Освещение,750.0,424.25,seasonal
P0039,Освещение 4,Дом и интерьер,Освещение,690.0,496.7,seasonal
P0040,Освещение 5,Дом и интерьер,Освещение,3760.0,2259.71,seasonal
P0041,Женская одежда 1,Одежда и обувь,Женская одежда,3010.0,1992.49,stable
P0042,Женская одежда 2,Одежда и обувь,Женская одежда,1980.0,973.47,stable
P0043,Женская одежда 3,Одежда и обувь,Женская одежда,1600.0,832.75,stable
P0044,Женская одежда 4,Одежда и обувь,Женская одежда,3040.0,1604.41,sporadic
P0045,Женская одежда 5,Одежда и обувь,Женская одежда,2990.0,1725.6,seasonal
P0046,Мужская одежда 1,Одежда и обувь,Мужская одежда,740.0,553.81,stable
P0047,Мужская одежда 2,Одежда и обувь,Мужская одежда,4940.0,2485.63,stable
P0048,Мужская одежда 3,Одежда и обувь,Мужская одежда,2380.0,1767.37,seasonal
P0049,Мужская одежда 4,Одежда и обувь,Мужская одежда,2280.0,1264.84,stable
P0050,Мужская одежда 5,Одежда и обувь,Мужская одежда,2570.0,1549.44,stable
P0051,Обувь 1,Одежда и обувь,Обувь,5510.0,4027.4,stable
P0052,Обувь 2,Одежда и обувь,Обувь,2790.0,1424.02,seasonal
P0053,Обувь 3,Одежда и обувь,Обувь,1410.0,937.14,seasonal
P0054,Обувь 4,Одежда и обувь,Обувь,4770.0,2433.5,sporadic
P0055,Обувь 5,Одежда и обувь,Обувь,1240.0,608.19,seasonal
P0056,Аксессуары 1,Одежда и обувь,Аксессуары,1770.0,1260.84,seasonal
P0057,Аксессуары 2,Одежда и обувь,Аксессуары,1550.0,1157.56,stable
P0058,Аксессуары 3,Одежда и обувь,Аксессуары,2530.0,1395.73,sporadic
P0059,Аксессуары 4,Одежда и обувь,Аксессуары,1060.0,522.13,stable
P0060,Аксессуары 5,Одежда и обувь,Аксессуары,8340.0,6085.44,seasonal
P0061,Уход за лицом 1,Красота и здоровье,Уход за лицом,4650.0,3395.27,stable
P0062,Уход за лицом 2,Красота и здоровье,Уход за лицом,790.0,549.97,seasonal
P0063,Уход за лицом 3,Красота и здоровье,Уход за лицом,950.0,481.13,seasonal
P0064,Уход за лицом 4,Красота и здоровье,Уход за лицом,670.0,497.35,stable
P0065,Уход за лицом 5,Красота и здоровье,Уход за лицом,440.0,313.59,stable
P0066,Уход за волосами 1,Красота и здоровье,Уход за волосами,520.0,336.87,sporadic
P0067,Уход за волосами 2,Красота и здоровье,Уход за волосами,550.0,311.79,seasonal
P0068,Уход за волосами 3,Красота и здоровье,Уход за волосами,5960.0,3696.44,stable
P0069,Уход за волосами 4,Красота и здоровье,Уход за волосами,310.0,168.73,stable
P0070,Уход за волосами 5,Красота и здоровье,Уход за волосами,2410.0,1239.01,stable
P0071,Парфюмерия 1,Красота и здоровье,Парфюмерия,2540.0,1632.49,stable
P0072,Парфюмерия 2,Красота и здоровье,Парфюмерия,3560.0,2421.92,seasonal
P0073,Парфюмерия 3,Красота и здоровье,Парфюмерия,450.0,231.59,sporadic
P0074,Парфюмерия 4,Красота и здоровье,Парфюмерия,1020.0,575.55,stable
P0075,Парфюмерия 5,Красота и здоровье,Парфюмерия,2300.0,1719.42,stable
P0076,Здоровье 1,Красота и здоровье,Здоровье,5160.0,2512.72,seasonal
P0077,Здоровье 2,Красота и здоровье,Здоровье,2110.0,1075.36,stable
P0078,Здоровье 3,Красота и здоровье,Здоровье,1090.0,818.09,seasonal
P0079,Здоровье 4,Красота и здоровье,Здоровье,5290.0,3730.62,stable
P0080,Здоровье 5,Красота и здоровье,Здоровье,3350.0,1624.73,stable
P0081,Игрушки 1,Детские товары,Игрушки,5170.0,3635.07,stable
P0082,Игрушки 2,Детские товары,Игрушки,1960.0,1273.38,sporadic
P0083,Игрушки 3,Детские товары,Игрушки,2480.0,1476.89,stable
P0084,Игрушки 4,Детские товары,Игрушки,1400.0,927.56,sporadic
P0085,Игрушки 5,Детские товары,Игрушки,1530.0,840.57,stable
P0086,Одежда 1,Детские товары,Одежда,3950.0,2799.13,stable
P0087,Одежда 2,Детские товары,Одежда,430.0,277.97,stable
P0088,Одежда 3,Детские товары,Одежда,5090.0,2885.49,stable
P0089,Одежда 4,Детские товары,Одежда,6960.0,3663.39,stable
P0090,Одежда 5,Детские товары,Одежда,580.0,297.16,stable
P0091,Развитие 1,Детские товары,Развитие,420.0,222.14,stable
P0092,Развитие 2,Детские товары,Развитие,2390.0,1602.73,stable
P0093,Развитие 3,Детские товары,Развитие,980.0,608.84,sporadic
P0094,Развитие 4,Детские товары,Развитие,5550.0,2731.56,stable
P0095,Развитие 5,Детские товары,Развитие,750.0,412.37,seasonal
P0096,Уход 1,Детские товары,Уход,1350.0,666.62,stable
P0097,Уход 2,Детские товары,Уход,1920.0,976.26,seasonal
P0098,Уход 3,Детские товары,Уход,410.0,302.97,stable
P0099,Уход 4,Детские товары,Уход,5420.0,3971.47,sporadic
P0100,Уход 5,Детские товары,Уход,4730.0,3302.74,seasonal
P0101,Фитнес 1,Спорт и отдых,Фитнес,8490.0,4395.06,stable
P0102,Фитнес 2,Спорт и отдых,Фитнес,3450.0,2484.41,stable
P0103,Фитнес 3,Спорт и отдых,Фитнес,2220.0,1463.15,stable
P0104,Фитнес 4,Спорт и отдых,Фитнес,970.0,595.39,stable
P0105,Фитнес 5,Спорт и отдых,Фитнес,1320.0,769.43,stable
P0106,Туризм 1,Спорт и отдых,Туризм,1830.0,1072.84,seasonal
P0107,Туризм 2,Спорт и отдых,Туризм,1650.0,1230.37,sporadic
P0108,Туризм 3,Спорт и отдых,Туризм,3080.0,1761.58,stable
P0109,Туризм 4,Спорт и отдых,Туризм,10750.0,7124.29,seasonal
P0110,Туризм 5,Спорт и отдых,Туризм,3670.0,2411.99,stable
P0111,Бег 1,Спорт и отдых,Бег,7310.0,3923.08,seasonal
P0112,Бег 2,Спорт и отдых,Бег,11210.0,5795.44,seasonal
P0113,Бег 3,Спорт и отдых,Бег,830.0,567.06,stable
P0114,Бег 4,Спорт и отдых,Бег,14480.0,7507.51,sporadic
P0115,Бег 5,Спорт и отдых,Бег,9140.0,5906.55,seasonal
P0116,Командные виды спорта 1,Спорт и отдых,Командные виды спорта,8970.0,6681.64,stable
P0117,Командные виды спорта 2,Спорт и отдых,Командные виды спорта,4460.0,2259.5,seasonal
P0118,Командные виды спорта 3,Спорт и отдых,Командные виды спорта,1070.0,682.86,seasonal
P0119,Командные виды спорта 4,Спорт и отдых,Командные виды спорта,2930.0,1835.17,seasonal
P0120,Командные виды спорта 5,Спорт и отдых,Командные виды спорта,9090.0,5615.83,seasonal
