client_id,segment,registration_date,loyalty_level
C001,B2C,2024-01-26,Gold
C002,B2B,2024-08-16,Silver
C003,B2C,2025-11-23,Bronze
C004,Enterprise,2024-02-02,Bronze
C005,B2C,2024-08-11,Silver
C006,B2C,2025-07-28,Silver
C007,Enterprise,2024-08-13,Platinum
C008,SMB,2024-01-07,Silver
C009,Enterprise,2024-12-14,Gold
C010,B2B,2024-08-08,Gold
C011,B2C,2024-04-04,Platinum
C012,B2C,2025-01-02,Gold
C013,SMB,2024-02-14,Platinum
C014,B2C,2025-01-22,Bronze
C015,SMB,2025-10-05,Gold
C016,B2B,2024-03-12,Bronze
C017,B2B,2024-10-23,Bronze
C018,B2B,2024-04-13,Platinum
C019,SMB,2025-04-09,Gold
C020,B2B,2025-01-14,Gold
C021,B2B,2025-11-17,Gold
C022,B2C,2025-09-15,Silver
C023,B2B,2024-06-16,Platinum
C024,Enterprise,2024-10-03,Silver
C025,SMB,2024-02-27,Silver
C026,B2C,2024-11-19,Platinum
C027,SMB,2024-03-08,Silver
C028,SMB,2024-08-05,Platinum
C029,Enterprise,2025-10-20,Platinum
C030,B2B,2024-09-28,Silver
C031,B2B,2025-07-28,Gold
C032,Enterprise,2025-08-20,Platinum
C033,SMB,2024-08-12,Silver
C034,Enterprise,2024-04-03,Bronze
C035,B2C,2024-06-05,Silver
C036,Enterprise,2025-09-02,Bronze
C037,Enterprise,2025-01-25,Platinum
C038,SMB,2025-07-20,Bronze
C039,B2C,2025-11-29,Gold
C040,SMB,2024-04-24,Gold
C012, smb ,2024-05-15,Silver
