customer_id,registration_date,home_region_id,customer_type,acquisition_channel,loyalty_level
C00001,2024-02-23,R11,B2C,referral,Silver
C00002,2023-10-18,R01,B2C,social,Silver
C00003,2024-09-16,R01,B2C,referral,New
C00004,2024-11-20,R01,B2C,paid_search,New
C00005,2024-09-03,R07,B2C,organic,New
C00006,2025-05-13,R04,B2C,paid_search,Silver
C00007,2023-05-08,R08,B2C,partner,Silver
C00008,2025-02-01,R07,B2C,organic,Gold
C00009,2023-07-31,R03,B2C,organic,Bronze
C00010,2022-09-10,R11,B2B,partner,Silver
C00011,2022-07-19,R08,B2C,partner,New
C00012,2022-05-06,R02,B2C,organic,Gold
C00013,2025-08-01,R03,B2C,referral,Bronze
C00014,2022-08-20,R03,B2C,paid_search,Silver
C00015,2025-02-17,R01,B2C,paid_search,Bronze
C00016,2024-12-08,R01,B2C,paid_search,New
C00017,2023-08-25,R11,B2C,partner,New
C00018,2025-06-05,R04,B2C,organic,Silver
C00019,2025-05-28,R03,B2C,referral,New
C00020,2025-06-20,R08,B2C,organic,Silver
C00021,2023-11-12,R05,B2C,social,Bronze
C00022,2023-02-13,R11,B2C,social,Bronze
C00023,2022-03-01,R08,B2C,social,Bronze
C00024,2025-02-24,R05,B2C,partner,New
C00025,2025-04-10,R03,B2C,social,Bronze
C00026,2024-01-05,R12,B2C,social,Bronze
C00027,2022-04-08,R08,B2C,organic,Bronze
C00028,2025-01-31,R11,B2C,partner,Silver
C00029,2023-02-13,R01,B2B,paid_search,Bronze
C00030,2024-01-21,R10,B2B,paid_search,Bronze
C00031,2024-06-21,R06,B2C,paid_search,Silver
C00032,2022-07-19,R01,B2C,paid_search,New
C00033,2022-03-27,R06,B2C,social,Bronze
C00034,2022-04-19,R07,B2C,paid_search,New
C00035,2025-08-05,R01,B2C,organic,New
C00036,2025-08-03,R04,B2C,partner,New
C00037,2023-08-08,R09,B2C,partner,Silver
C00038,2023-08-06,R02,B2C,paid_search,New
C00039,2023-07-11,R04,B2C,partner,Gold
C00040,2023-04-25,R04,B2C,paid_search,Silver
C00041,2024-01-15,R03,B2C,paid_search,New
C00042,2023-05-03,R11,B2C,partner,Bronze
C00043,2024-04-23,R08,B2C,social,New
C00044,2023-06-03,R01,B2C,referral,New
C00045,2024-05-12,R12,B2C,paid_search,Gold
C00046,2025-07-17,R10,B2C,paid_search,Bronze
C00047,2022-10-09,R02,B2C,organic,New
