order_id,order_date,customer_id,product_id,region_id,channel,delivery_type,quantity,unit_price,discount_pct,delivery_fee,promised_days,actual_delivery_days,order_status,payment_method,campaign,review_score
O0000001,2024-07-15,C02143,P0003,R11,app,pickup,4,22203.34,0.1149,0.0,0,0,delivered,card,welcome,5.0
O0000002,2025-01-13,C06206,P0014,R07,app,pickup,2,16455.04,0.128,0.0,0,0,delivered,card,promo_code,5.0
O0000003,2025-08-26,C02509,P0091,R11,web,standard,2,420.84,0.0815,99.0,3,3,delivered,card,loyalty,5.0
O0000004,2025-11-15,C00177,P0008,R05,app,standard,2,7323.33,0.0706,99.0,4,3,delivered,card,loyalty,5.0
O0000005,2024-10-30,C00407,P0068,R02,app,standard,5,5793.72,0.0237,0.0,5,5,delivered,card,none,5.0
O0000006,2024-12-23,C02344,P0043,R09,web,express,2,1710.12,0.0254,249.0,1,2,delivered,card,none,4.0
O0000007,2024-09-10,C06195,P0003,R02,web,standard,4,22731.9,0.1003,0.0,4,4,delivered,sbp,welcome,4.0
O0000008,2024-10-26,C00624,P0098,R04,app,standard,1,415.37,0.0491,0.0,5,6,delivered,card,none,4.0
O0000009,2024-07-10,C01287,P0112,R02,app,standard,5,10713.97,0.1014,99.0,4,4,delivered,card,promo_code,4.0
O0000010,2024-01-29,C06753,P0050,R07,app,express,2,2642.64,0.2683,199.0,1,2,delivered,sbp,seasonal,4.0
O0000011,2024-11-17,C02855,P0090,R01,app,standard,1,589.13,0.0165,0.0,4,4,delivered,card,none,4.0
O0000012,2024-12-16,C06111,P0005,R03,app,standard,1,14027.26,0.083,99.0,5,5,cancelled,cash_on_delivery,loyalty,
O0000013,2025-08-19,C02658,P0023,R01,marketplace,standard,1,2355.63,0.0481,99.0,4,3,delivered,card,none,5.0
O0000014,2025-01-21,C03632,P0002,R04,app,standard,2,17233.72,0.0072,0.0,3,3,delivered,card,none,4.0
O0000015,2024-09-22,C06628,P0106,R01,marketplace,express,2,1880.06,0.1111,299.0,1,0,delivered,cash_on_delivery,welcome,5.0
O0000016,2024-12-12,C06690,P0010,,app,pickup,1,3049.86,0.0124,0.0,0,0,delivered,sbp,none,3.0
O0000017,2025-08-31,C01125,P0096,R06,web,pickup,1,1219.62,0.0245,0.0,0,0,returned,sbp,none,4.0
O0000018,2024-12-21,C04734,P0007,R03,app,standard,3,24343.79,0.1433,0.0,5,7,delivered,sbp,seasonal,4.0
O0000019,2025-02-20,C02943,P0098,R02,app,standard,3,383.31,0.2717,149.0,4,4,delivered,card,seasonal,5.0
O0000020,2024-05-27,C01017,P0118,R07,web,pickup,1,1012.95,0.0175,0.0,0,0,delivered,card,none,5.0
O0000021,2024-01-08,C00221,P0098,R05,web,pickup,2,412.77,0.2336,0.0,0,0,delivered,card,seasonal,4.0
O0000022,2025-11-25,C03560,P0007,R04,app,pickup,3,25210.98,0.0424,0.0,0,0,delivered,sbp,none,5.0
O0000023,2024-08-10,C00663,P0064,R12,app,standard,2,614.83,0.2349,0.0,5,4,delivered,sbp,seasonal,5.0
O0000024,2024-10-06,C06575,P0050,,app,standard,3,2346.11,0.0613,99.0,4,4,delivered,card,loyalty,4.0
O0000025,2024-04-09,C01725,P0074,R07,app,express,4,890.23,0.1184,249.0,2,2,delivered,cash_on_delivery,loyalty,5.0
O0000026,2025-01-12,C03082,P0005,R02,app,standard,1,15890.52,0.0878,0.0,5,4,delivered,card,promo_code,4.0
O0000027,2025-07-18,C05101,P0112,R07,app,standard,3,10765.59,0.0428,0.0,4,4,delivered,card,none,4.0
O0000028,2025-06-07,C03557,P0037,R05,marketplace,standard,2,502.54,0.0295,0.0,3,2,delivered,card,none,5.0
O0000029,2025-10-12,C02610,P0097,R02,web,standard,3,1839.79,0.1181,0.0,4,4,delivered,sbp,loyalty,4.0
O0000030,2024-08-24,C04392,P0067,R05,app,standard,2,548.45,0.2338,99.0,4,6,delivered,card,seasonal,4.0
O0000031,2024-09-13,C01307,P0101,R10,app,standard,2,8204.74,0.016,99.0,3,3,delivered,card,none,5.0
O0000032,2025-12-14,C03432,P0098,R03,app,pickup,1,429.23,0.2,0.0,0,0,returned,card,promo_code,5.0
O0000033,2024-12-09,C06733,P0119,R09,app,standard,2,2978.33,0.0358,149.0,4,4,delivered,card,none,5.0
O0000034,2025-09-28,C05511,P0098,R06,marketplace,standard,3,402.39,0.2582,0.0,4,4,delivered,card,seasonal,5.0
O0000035,2025-04-07,C02324,P0040,R06,web,pickup,3,3520.57,0.1075,0.0,0,0,delivered,cash_on_delivery,welcome,5.0
O0000036,2024-06-02,C06382,P0001,R03,app,standard,3,23503.08,0.168,0.0,5,5,delivered,card,promo_code,4.0
O0000037,2025-12-09,C06126,P0064,R10,web,express,2,694.58,0.0573,299.0,1,1,delivered,cash_on_delivery,loyalty,4.0
O0000038,2024-09-20,C01895,P0050,R12,app,standard,2,2292.23,0.1508,0.0,3,5,delivered,card,seasonal,4.0
O0000039,2025-05-01,C06553,P0004,R07,app,standard,1,9324.61,0.0901,99.0,3,4,delivered,card,loyalty,3.0
O0000040,2024-07-31,C03401,P0078,R12,app,express,2,1120.87,0.0286,249.0,2,4,delivered,sbp,none,3.0
O0000041,2025-03-09,C06538,P0118,R01,app,express,5,1095.57,0.0533,199.0,2,2,delivered,sbp,promo_code,5.0
O0000042,2025-02-07,C03834,P0053,R09,marketplace,standard,2,1463.53,0.0163,0.0,3,3,delivered,card,none,5.0
O0000043,2024-08-05,C00693,P0021,R02,web,standard,1,3252.78,0.0179,0.0,5,5,delivered,card,none,4.0
O0000044,2025-12-26,C00944,P0067,R02,web,standard,1,596.28,0.0307,99.0,5,6,delivered,sbp,none,4.0
O0000045,2024-04-30,C03468,P0083,R03,app,standard,3,2446.22,0.0935,0.0,3,3,delivered,card,promo_code,5.0
O0000046,2024-12-02,C00217,P0114,R11,web,express,3,12241.18,0.0081,249.0,2,3,delivered,sbp,none,3.0
O0000047,2024-01-30,C05367,P0007,R07,app,pickup,1,26489.59,0.0438,0.0,0,0,delivered,sbp,none,5.0
