client_id,client_segment,loyalty_level,registration_date
CL-00001,regular,none,2025-11-30
CL-00002,regular,gold,2025-09-01
CL-00003,vip,platinum,2024-06-14
CL-00004,regular,none,2024-05-09
CL-00005,new,gold,2024-09-13
CL-00006,sleeping,gold,2024-12-16
CL-00007,regular,gold,2024-08-11
CL-00008,regular,silver,2024-03-09
CL-00009,new,none,2025-01-13
CL-00010,regular,none,2024-11-08
CL-00011,regular,gold,2024-08-20
CL-00012,sleeping,gold,2025-09-20
CL-00013,regular,silver,2024-08-08
CL-00014,vip,none,2025-11-09
CL-00015,regular,none,2024-01-09
CL-00016,new,silver,2025-01-29
CL-00017,regular,gold,2025-12-23
CL-00018,new,none,2024-08-05
CL-00019,vip,silver,2025-05-12
CL-00020,regular,silver,2025-07-11
CL-00021,regular,gold,2024-09-17
CL-00022,regular,gold,2025-04-30
CL-00023,sleeping,none,2025-05-10
CL-00024,sleeping,silver,2024-12-23
CL-00025,regular,gold,2024-10-13
CL-00026,new,platinum,2024-12-27
CL-00027,regular,silver,2024-04-23
CL-00028,new,none,2025-01-09
CL-00029,new,silver,2024-09-04
CL-00030,regular,silver,2024-09-14
CL-00031,regular,none,2024-07-05
CL-00032,sleeping,platinum,2025-01-29
CL-00033,new,none,2024-01-06
CL-00034,regular,gold,2024-02-13
CL-00035,regular,silver,2024-06-07
CL-00036,new,none,2025-03-09
CL-00037,new,silver,2024-07-14
CL-00038,regular,silver,2025-01-12
CL-00039,new,gold,2024-04-22
CL-00040,regular,silver,2024-11-15
CL-00041,regular,none,2024-12-10
CL-00042,vip,gold,2024-09-03
CL-00043,regular,silver,2024-02-07
CL-00044,new,none,2025-04-17
CL-00045,vip,gold,2024-06-03
CL-00046,vip,none,2025-01-03
CL-00047,regular,none,2025-06-23
CL-00048,new,silver,2024-03-17
CL-00049,regular,silver,2025-05-30
CL-00050,new,silver,2024-10-11
CL-00051,new,gold,2025-01-17
CL-00052,new,none,2024-02-28
CL-00053,regular,platinum,2025-01-14
CL-00054,regular,none,2024-10-15
CL-00055,regular,none,2024-05-15
CL-00056,regular,none,2025-02-08
CL-00057,regular,none,2025-05-09
CL-00058,regular,silver,2024-10-24
CL-00059,new,gold,2025-04-27
CL-00060,new,gold,2024-09-16
CL-00061,regular,silver,2025-09-23
CL-00062,regular,none,2024-08-01
CL-00063,regular,gold,2025-08-29
CL-00064,regular,none,2024-10-17
CL-00065,regular,silver,2025-02-28
CL-00066,regular,silver,2024-02-22
CL-00067,regular,none,2024-02-26
CL-00068,new,silver,2026-01-25
CL-00069,new,gold,2024-01-06
CL-00070,regular,none,2025-02-26
CL-00071,new,silver,2024-12-13
CL-00072,regular,platinum,2025-04-28
CL-00073,vip,none,2024-01-03
CL-00074,new,none,2024-05-19
CL-00075,new,silver,2024-09-14
CL-00076,new,gold,2025-12-02
CL-00077,new,silver,2024-09-22
CL-00078,regular,silver,2025-03-10
CL-00079,regular,none,2025-03-11
CL-00080,regular,platinum,2024-11-10
CL-00081,regular,gold,2025-09-22
CL-00082,regular,silver,2025-06-26
CL-00083,vip,platinum,2024-12-03
CL-00084,new,silver,2024-08-19
CL-00085,new,platinum,2024-07-30
CL-00086,new,none,2025-12-11
CL-00087,regular,none,2024-04-05
CL-00088,regular,gold,2024-05-08
CL-00089,new,silver,2024-07-17
CL-00090,regular,none,2025-09-25
CL-00091,new,gold,2025-06-06
CL-00092,regular,silver,2026-01-04
CL-00093,regular,none,2025-07-02
CL-00094,regular,none,2025-01-08
CL-00095,new,silver,2024-01-31
CL-00096,regular,none,2025-10-28
