order_id,order_date,region,channel,customer_type,category,subcategory,quantity,unit_price,discount_percent,revenue,cost,profit,profit_margin,delivery_days,rating
RM-00278,2026-01-01,Санкт-Петербург,Партнеры,Повторный,Электроника,Аксессуары,2,25535.3,15,43410.01,32291.26,11118.75,0.2561,3,5.0
RM-00380,2026-01-01,Москва,Онлайн,Повторный,Электроника,Аксессуары,3,27689.11,25,62300.5,41398.18,20902.31,0.3355,3,4.9
RM-01198,2026-01-01,Ростов-на-Дону,Онлайн,Повторный,Электроника,Аксессуары,1,28165.8,5,26757.51,17040.27,9717.24,0.3632,6,4.4
RM-00014,2026-01-02,Самара,Онлайн,Новый,Электроника,Смартфоны,2,26549.6,20,42479.36,26123.07,16356.29,0.385,7,4.4
RM-00053,2026-01-02,Самара,Онлайн,Повторный,Дом и кухня,Посуда,3,8456.2,10,22831.74,15530.02,7301.72,0.3198,3,4.7
RM-00097,2026-01-02,Москва,Онлайн,Повторный,Дом и кухня,Техника для дома,4,3298.34,0,13193.36,9567.54,3625.82,0.2748,2,5.0
RM-00264,2026-01-02,Новосибирск,Магазин,Новый,Электроника,Аксессуары,3,22652.19,15,57763.08,35506.97,22256.11,0.3853,6,3.8
RM-00328,2026-01-02,Екатеринбург,Магазин,Повторный,Красота,Уход,4,2845.05,10,10242.18,7575.48,2666.7,0.2604,7,3.4
RM-00488,2026-01-02,Ростов-на-Дону,Магазин,Повторный,Одежда,Спортивная,2,4477.96,15,7612.53,5570.53,2042.0,0.2682,7,3.2
RM-00586,2026-01-02,Казань,Партнеры,Корпоративный,Одежда,Повседневная,7,3799.71,0,26597.97,19693.79,6904.18,0.2596,3,5.0
RM-00690,2026-01-02,Новосибирск,Онлайн,Повторный,Дом и кухня,Посуда,5,5845.24,15,24842.27,19274.21,5568.06,0.2241,5,4.7
RM-00744,2026-01-02,Нижний Новгород,Магазин,Повторный,Канцтовары,Бумага,1,813.18,0,813.18,1262.24,-449.06,-0.5522,3,4.7
RM-00795,2026-01-02,Москва,Магазин,Корпоративный,Одежда,Спортивная,8,4860.49,5,36939.72,25614.86,11324.87,0.3066,2,5.0
RM-01123,2026-01-02,Санкт-Петербург,Магазин,Повторный,Спорт,Фитнес,5,4770.44,20,19081.76,12942.23,6139.53,0.3217,3,3.9
RM-01178,2026-01-02,Казань,Онлайн,Повторный,Канцтовары,Письменные принадлежности,4,850.88,10,3063.17,2532.5,530.66,0.1732,4,4.3
RM-00497,2026-01-03,Москва,Онлайн,Новый,Электроника,Аксессуары,3,32718.48,5,93247.67,58190.22,35057.45,0.376,4,4.4
RM-00571,2026-01-03,Новосибирск,Онлайн,Корпоративный,Дом и кухня,Техника для дома,8,4781.96,15,32517.33,25200.35,7316.97,0.225,6,3.1
RM-00626,2026-01-03,Новосибирск,Онлайн,Повторный,Спорт,Фитнес,5,3264.55,0,16322.75,11046.05,5276.7,0.3233,4,4.4
RM-00090,2026-01-04,Москва,Партнеры,Повторный,Канцтовары,Бумага,4,461.7,0,1846.8,1766.07,80.73,0.0437,5,4.3
RM-00185,2026-01-04,Казань,Онлайн,Повторный,Электроника,Аксессуары,2,36420.46,5,69198.87,43590.1,25608.78,0.3701,5,3.2
RM-00260,2026-01-04,Санкт-Петербург,Онлайн,Новый,Дом и кухня,Техника для дома,3,6938.82,20,16653.17,11083.66,5569.51,0.3344,3,4.5
RM-00360,2026-01-04,Москва,Онлайн,Повторный,Одежда,Спортивная,4,4580.4,0,18321.6,12576.6,5745.0,0.3136,1,5.0
RM-00427,2026-01-04,Москва,Онлайн,Корпоративный,Электроника,Смартфоны,6,25688.33,20,123303.98,73604.93,49699.06,0.4031,5,4.4
RM-00948,2026-01-04,Екатеринбург,Магазин,Новый,Канцтовары,Бумага,3,889.52,5,2535.13,2544.71,-9.58,-0.0038,5,3.8
RM-01120,2026-01-04,Москва,Магазин,Повторный,Дом и кухня,Посуда,2,6166.82,10,11100.28,8676.51,2423.77,0.2184,5,4.2
RM-01134,2026-01-04,Екатеринбург,Магазин,Новый,Канцтовары,Бумага,2,582.47,0,1164.94,1457.28,-292.34,-0.251,4,4.1
RM-00224,2026-01-05,Санкт-Петербург,Онлайн,Повторный,Электроника,Смартфоны,7,13515.59,0,94609.13,62615.38,31993.75,0.3382,6,4.0
RM-00747,2026-01-05,Новосибирск,Онлайн,Повторный,Одежда,Спортивная,6,4019.12,5,22908.98,17070.39,5838.6,0.2549,6,3.5
RM-00810,2026-01-05,Нижний Новгород,Онлайн,Новый,Одежда,Повседневная,2,3336.5,15,5672.05,4146.7,1525.35,0.2689,3,4.7
RM-01159,2026-01-05,Нижний Новгород,Онлайн,Новый,Электроника,Аксессуары,3,29152.71,10,78712.32,57456.18,21256.14,0.27,6,3.9
RM-00104,2026-01-06,Екатеринбург,Онлайн,Повторный,Спорт,Туризм,1,7935.19,25,5951.39,4442.75,1508.64,0.2535,7,3.9
RM-00290,2026-01-06,Новосибирск,Магазин,Новый,Электроника,Смартфоны,5,15538.9,0,77694.5,54558.58,23135.92,0.2978,5,4.3
RM-00338,2026-01-06,Екатеринбург,Онлайн,Новый,Красота,Уход,5,2721.08,20,10884.32,8777.67,2106.65,0.1935,3,4.5
RM-00573,2026-01-06,Новосибирск,Магазин,Новый,Красота,Уход,3,1719.36,0,5158.08,4553.28,604.8,0.1173,4,4.3
RM-00577,2026-01-06,Санкт-Петербург,Онлайн,Новый,Дом и кухня,Техника для дома,1,6506.99,5,6181.64,4411.03,1770.61,0.2864,5,4.5
RM-00138,2026-01-07,Санкт-Петербург,Магазин,Новый,Красота,Уход,5,2810.32,15,11943.86,8732.24,3211.62,0.2689,6,4.1
RM-00243,2026-01-07,Казань,Онлайн,Корпоративный,Красота,Уход,7,2519.32,0,17635.24,12181.29,5453.95,0.3093,2,5.0
RM-00279,2026-01-07,Нижний Новгород,Онлайн,Новый,Спорт,Фитнес,2,7417.53,5,14093.31,10091.63,4001.68,0.2839,5,3.4
RM-00383,2026-01-07,Самара,Магазин,Новый,Электроника,Аксессуары,3,22997.92,20,55195.01,39373.31,15821.7,0.2867,6,3.5
RM-00422,2026-01-07,Казань,Партнеры,Новый,Электроника,Аксессуары,3,29603.41,0,88810.23,59531.97,29278.26,0.3297,6,3.8
RM-00507,2026-01-07,Нижний Новгород,Партнеры,Повторный,Дом и кухня,Техника для дома,5,5009.77,10,22543.97,16878.99,5664.97,0.2513,4,4.5
RM-01151,2026-01-07,Ростов-на-Дону,Онлайн,Повторный,Красота,Уход,4,4444.19,10,15999.08,10858.62,5140.46,0.3213,4,4.5
RM-00265,2026-01-08,Самара,Онлайн,Повторный,Дом и кухня,Техника для дома,8,6232.31,15,42379.71,26723.85,15655.86,0.3694,4,5.0
RM-00283,2026-01-08,Нижний Новгород,Онлайн,Новый,Одежда,Повседневная,2,2922.74,5,5553.21,4182.53,1370.67,0.2468,2,5.0
RM-00699,2026-01-08,Санкт-Петербург,Магазин,Повторный,Электроника,Аксессуары,5,24654.1,10,110943.45,68231.45,42712.0,0.385,5,3.9
RM-00853,2026-01-08,Казань,Магазин,Повторный,Красота,Уход,5,2253.19,5,10702.65,8192.51,2510.15,0.2345,2,5.0
RM-00867,2026-01-08,Санкт-Петербург,Онлайн,Повторный,Дом и кухня,Посуда,5,5975.53,10,26889.88,19113.8,7776.08,0.2892,2,4.9
RM-00899,2026-01-08,Ростов-на-Дону,Онлайн,Повторный,Одежда,Спортивная,3,3501.49,10,9454.02,6400.61,3053.41,0.323,7,4.3
RM-00112,2026-01-09,Ростов-на-Дону,Магазин,Повторный,Одежда,Спортивная,2,4887.83,20,7820.53,5363.59,2456.94,0.3142,6,4.0
RM-00145,2026-01-09,Москва,Магазин,Повторный,Канцтовары,Бумага,2,899.36,5,1708.78,1559.74,149.04,0.0872,5,4.2
RM-00321,2026-01-09,Москва,Магазин,Повторный,Электроника,Аксессуары,2,26818.36,25,40227.54,29673.29,10554.25,0.2624,5,4.0
RM-00423,2026-01-09,Екатеринбург,Онлайн,Корпоративный,Дом и кухня,Посуда,6,3898.65,25,17543.93,12604.12,4939.81,0.2816,7,3.2
RM-00470,2026-01-09,Екатеринбург,Магазин,Повторный,Канцтовары,Бумага,3,629.54,5,1794.19,1811.71,-17.52,-0.0098,4,3.7
RM-00486,2026-01-09,Ростов-на-Дону,Магазин,Повторный,Спорт,Фитнес,6,6695.79,25,30131.06,22528.98,7602.08,0.2523,7,4.1
RM-00848,2026-01-09,Нижний Новгород,Онлайн,Новый,Одежда,Повседневная,1,4656.86,0,4656.86,3559.47,1097.39,0.2356,3,4.9
RM-00976,2026-01-09,Нижний Новгород,Магазин,Новый,Дом и кухня,Посуда,2,4775.49,20,7640.78,5196.88,2443.91,0.3199,4,4.6
RM-01012,2026-01-09,Нижний Новгород,Магазин,Повторный,Одежда,Повседневная,2,5492.94,10,9887.29,7693.16,2194.13,0.2219,4,4.4
RM-01125,2026-01-09,Екатеринбург,Онлайн,Новый,Одежда,Спортивная,2,3102.5,5,5894.75,4817.86,1076.89,0.1827,3,4.2
