batch_id,source_system,load_date,extracted_at,loaded_at,expected_rows,loaded_rows,rejected_rows,freshness_minutes,schema_version,checksum_match,load_status,error_code
BATCH-000001,crm,2025-01-01,2025-01-01 01:02:00,2025-01-01 01:08:00,132,132,0,6,1.1,1,success,
BATCH-000002,portal,2025-01-01,2025-01-01 01:28:00,2025-01-01 01:54:00,25,25,0,26,1.1,1,success,
BATCH-000003,chat_platform,2025-01-01,2025-01-01 01:25:00,2025-01-01 01:32:00,49,49,0,7,1.0,1,success,
BATCH-000004,workflow,2025-01-01,2025-01-01 01:20:00,2025-01-01 01:36:00,72,72,0,16,1.0,1,success,
BATCH-000005,workforce,2025-01-01,2025-01-01 01:15:00,2025-01-01 01:23:00,154,154,0,8,1.0,1,success,
BATCH-000006,calendar,2025-01-01,2025-01-01 01:29:00,2025-01-01 01:44:00,222,222,0,15,1.0,1,success,
BATCH-000007,crm,2025-01-02,2025-01-02 01:14:00,2025-01-02 01:25:00,100,100,0,11,1.0,1,success,
BATCH-000008,portal,2025-01-02,2025-01-02 01:03:00,2025-01-02 07:35:00,75,0,75,392,1.0,0,failed,SRC_UNAVAILABLE
BATCH-000009,chat_platform,2025-01-02,2025-01-02 01:28:00,2025-01-02 02:22:00,203,203,0,54,1.0,1,success,
BATCH-000010,workflow,2025-01-02,2025-01-02 01:08:00,2025-01-02 01:29:00,236,236,0,21,1.0,1,success,
BATCH-000011,workforce,2025-01-02,2025-01-02 01:18:00,2025-01-02 01:55:00,201,201,0,37,1.0,1,success,
BATCH-000012,calendar,2025-01-02,2025-01-02 01:07:00,2025-01-02 01:36:00,252,252,0,29,1.1,1,success,
BATCH-000013,crm,2025-01-03,2025-01-03 01:07:00,2025-01-03 04:19:00,182,172,10,192,1.0,1,warning,LATE_ARRIVAL
BATCH-000014,portal,2025-01-03,2025-01-03 01:18:00,2025-01-03 01:34:00,203,203,0,16,1.0,1,success,
BATCH-000015,chat_platform,2025-01-03,2025-01-03 01:22:00,2025-01-03 01:30:00,105,105,0,8,1.0,1,success,
BATCH-000016,workflow,2025-01-03,2025-01-03 01:08:00,2025-01-03 01:36:00,164,164,0,28,1.0,1,success,
BATCH-000017,workforce,2025-01-03,2025-01-03 01:14:00,2025-01-03 01:20:00,253,253,0,6,1.0,1,success,
BATCH-000018,calendar,2025-01-03,2025-01-03 01:24:00,2025-01-03 01:33:00,28,28,0,9,1.0,1,success,
BATCH-000019,crm,2025-01-04,2025-01-04 01:07:00,2025-01-04 01:52:00,72,72,0,45,1.0,1,success,
