date,team_id,planned_agents,active_agents,absence_count,shift_hours,backlog_start,backlog_end,incoming_tickets,resolved_tickets,avg_handle_time_min,overtime_hours,load_ts
2025-11-10,T023,18,18,0,144.0,8,4,4,8,42.3,0.6,2025-11-10 03:54:00
2026-05-27,T030,10,9,1,72.0,16,11,14,19,34.1,0.8,2026-05-27 03:16:00
2025-10-07,T026,10,9,1,72.0,14,9,8,13,66.1,0.0,2025-10-07 02:02:00
2025-06-30,T009,13,13,0,104.0,12,5,9,16,21.9,0.0,2025-06-30 02:33:00
2025-04-17,T028,6,6,0,48.0,3,0,4,7,78.7,0.0,2025-04-17 02:50:00
2025-09-01,T029,20,20,0,160.0,6,0,10,26,28.3,1.1,2025-09-01 03:03:00
2025-10-30,T026,10,8,2,64.0,13,12,9,10,42.6,1.0,2025-10-30 02:56:00
2025-09-08,T005,17,17,0,136.0,6,0,4,13,31.8,0.5,2025-09-08 03:10:00
2025-06-01,T029,18,17,1,127.5,4,0,9,15,44.3,0.0,2025-06-01 03:46:00
2026-02-17,T018,13,9,4,72.0,9,4,11,16,38.9,1.8,2026-02-17 02:20:00
2025-10-05,T003,9,8,1,60.0,3,0,4,7,35.4,0.0,2025-10-05 02:02:00
2025-06-12,T016,14,14,0,112.0,8,4,2,6,90.1,0.0,2025-06-12 03:56:00
2026-05-14,T027,8,7,1,56.0,4,1,4,7,38.7,0.0,2026-05-14 03:45:00
2025-03-05,T020,16,15,1,120.0,7,0,3,11,78.2,0.9,2025-03-05 03:19:00
2025-07-03,T029,20,20,0,160.0,6,0,14,29,18.3,0.1,2025-07-03 02:30:00
2026-05-18,T015,18,16,2,128.0,6,0,6,14,29.2,0.0,2026-05-18 02:32:00
2025-04-29,T010,14,14,0,112.0,14,2,12,24,45.3,0.0,2025-04-29 02:57:00
2026-01-02,T031,15,15,0,120.0,8,4,5,9,29.3,0.0,2026-01-02 03:10:00
2026-05-02,T020,14,14,0,105.0,8,9,7,6,82.0,0.0,2026-05-02 03:03:00
2025-10-13,T017,12,11,1,88.0,9,3,7,13,25.8,0.3,2025-10-13 03:34:00
2025-02-05,T024,16,15,1,120.0,5,2,3,6,69.7,0.3,2025-02-05 02:58:00
2025-02-24,T030,10,9,1,72.0,6,2,8,12,48.4,0.3,2025-02-24 02:15:00
2026-02-20,T003,11,11,0,88.0,9,7,10,12,37.5,0.5,2026-02-20 03:09:00
2025-01-20,T001,20,20,0,160.0,9,0,10,19,18.3,0.1,2025-01-20 02:30:00
2025-04-06,T002,13,11,2,82.5,15,11,4,8,61.8,0.1,2025-04-06 03:52:00
2026-05-12,T006,17,17,0,136.0,7,3,4,8,70.6,1.0,2026-05-12 03:22:00
2025-07-26,T029,18,18,0,135.0,4,4,3,3,25.5,0.0,2025-07-26 03:23:00
2025-08-11,T014,17,16,1,128.0,9,6,4,7,39.9,0.4,2025-08-11 03:32:00
2025-06-02,T018,13,13,0,104.0,10,2,5,13,75.0,0.0,2025-06-02 03:51:00
2025-11-08,T031,13,13,0,97.5,3,2,3,4,26.2,0.0,2025-11-08 02:47:00
2026-02-21,T005,15,15,0,112.5,3,0,2,5,42.4,0.0,2026-02-21 03:49:00
2025-04-18,T019,12,10,2,80.0,6,5,4,5,29.8,0.9,2025-04-18 02:31:00
2026-06-14,T011,6,6,0,45.0,5,4,1,2,50.6,0.4,2026-06-14 02:49:00
2025-10-18,T029,18,17,1,127.5,5,4,5,6,31.4,0.0,2025-10-18 03:14:00
2026-02-15,T010,12,12,0,90.0,7,6,4,5,46.5,1.1,2026-02-15 03:43:00
2026-01-17,T004,8,9,1,52.5,6,0,3,11,92.7,0.4,2026-01-17 03:16:00
2025-01-17,T020,16,15,1,120.0,7,4,6,9,53.7,0.6,2025-01-17 03:07:00
2026-01-29,T027,8,6,2,48.0,6,3,3,6,53.6,0.0,2026-01-29 03:41:00
2026-03-05,T028,6,6,0,48.0,4,0,4,9,54.4,1.0,2026-03-05 03:11:00
2026-04-23,T018,13,12,1,96.0,2,0,8,17,38.6,0.4,2026-04-23 03:14:00
2026-01-27,T014,17,17,0,136.0,6,2,7,11,48.1,0.3,2026-01-27 03:29:00
2026-04-18,T013,15,14,1,105.0,8,3,9,14,34.4,0.0,2026-04-18 02:16:00
2025-02-20,T027,8,8,0,64.0,8,4,4,8,29.6,0.0,2025-02-20 03:04:00
2025-11-27,T003,11,10,1,80.0,10,8,12,14,29.9,0.0,2025-11-27 03:29:00
2025-03-06,T016,14,14,0,112.0,6,4,2,4,61.6,0.4,2025-03-06 03:00:00
2025-12-22,T032,11,10,1,80.0,4,0,2,8,59.9,0.0,2025-12-22 03:56:00
2026-06-03,T003,11,10,1,80.0,7,7,5,5,32.4,0.0,2026-06-03 02:45:00
2026-04-20,T024,16,14,2,112.0,5,2,3,6,53.7,1.1,2026-04-20 03:49:00
2025-09-13,T021,18,18,0,135.0,7,0,5,13,25.2,0.3,2025-09-13 03:18:00
2025-07-06,T022,14,13,1,97.5,8,0,5,13,71.3,0.4,2025-07-06 02:18:00
2026-06-09,T014,17,15,2,120.0,6,0,6,12,67.3,0.1,2026-06-09 03:16:00
2026-02-23,T007,10,10,0,80.0,6,0,5,11,26.6,0.0,2026-02-23 03:14:00
2025-10-31,T029,20,20,0,160.0,10,9,6,7,31.8,0.0,2025-10-31 03:38:00
2025-05-01,T009,13,13,0,104.0,9,5,7,11,32.2,0.0,2025-05-01 02:53:00
2025-05-02,T020,16,15,1,120.0,9,7,3,5,93.7,0.0,2025-05-02 03:26:00
2025-10-08,T005,17,17,0,136.0,5,5,9,9,24.0,0.7,2025-10-08 03:45:00
2025-12-17,T012,10,10,0,80.0,10,11,7,6,58.9,0.6,2025-12-17 02:42:00
2026-02-13,T006,17,16,1,128.0,7,2,5,10,46.6,0.0,2026-02-13 02:17:00
2026-02-28,T012,8,7,1,52.5,5,6,5,4,90.7,0.8,2026-02-28 03:39:00
2025-08-16,T012,8,8,0,60.0,6,1,4,9,75.7,0.9,2025-08-16 03:27:00
2026-04-10,T002,15,15,0,120.0,13,11,8,10,57.3,0.4,2026-04-10 02:16:00
2025-05-05,T001,20,18,2,144.0,9,5,12,16,21.9,0.4,2025-05-05 02:29:00
2025-08-29,T020,16,15,1,120.0,8,4,5,9,74.3,0.3,2025-08-29 02:17:00
2026-01-27,T009,13,13,0,104.0,6,0,7,18,38.1,0.0,2026-01-27 02:06:00
2025-07-16,T029,20,18,2,144.0,9,6,7,10,22.2,0.2,2025-07-16 03:16:00
2025-09-08,T030,10,10,0,80.0,10,4,9,15,57.5,0.0,2025-09-08 02:22:00
2025-08-22,T020,16,15,1,120.0,8,1,5,12,64.0,0.5,2025-08-22 03:24:00
2025-10-20,T001,20,19,1,152.0,9,8,6,7,22.3,0.1,2025-10-20 03:50:00
2025-12-31,T004,10,8,2,64.0,10,3,4,11,78.9,0.3,2025-12-31 02:21:00
2025-04-28,T031,15,14,1,112.0,8,4,4,8,27.6,0.0,2025-04-28 03:51:00
2026-04-16,T031,15,15,0,120.0,9,4,7,12,34.1,0.4,2026-04-16 02:09:00
