event_id,ticket_id,event_ts_utc,event_type,status_from,status_to,team_from,team_to,actor_type,queue_name,comment_length,source_system,load_ts
EVT-00125255,TCK-013827,2026-05-02 17:24:28,created,,new,T018,T018,agent,queue_billing,853,chat_platform,2026-05-02 18:31:28
EVT-00139984,TCK-001111,2026-06-17 21:23:51,created,,new,T017,T017,agent,queue_billing,607,workflow,2026-06-17 21:52:51
EVT-00076785,TCK-012461,2025-11-07 21:40:31,assigned,new,in_progress,T010,T010,agent,queue_access,616,chat_platform,2025-11-07 23:04:31
EVT-00051709,TCK-018813,2025-08-05 11:26:49,status_changed,in_progress,in_progress,T001,T001,system,queue_access,540,crm,2025-08-05 11:44:49
EVT-00028012,TCK-004213,2025-05-02 03:57:08,closed,resolved,closed,T003,T003,agent,queue_integration,204,workflow,2025-05-02 04:57:08
EVT-00009733,TCK-004189,2025-02-13 21:03:30,closed,resolved,closed,T025,T025,agent,queue_consultation,604,crm,2025-02-13 21:24:30
EVT-00138137,TCK-000356,2026-06-13 15:38:34,resolved,waiting_customer,resolved,T027,T027,agent,queue_billing,773,crm,2026-06-13 16:35:34
EVT-00137649,TCK-000529,2026-06-11 23:44:05,closed,resolved,closed,T004,T004,agent,queue_consultation,854,crm,2026-06-12 00:45:05
EVT-00022963,TCK-009115,2025-04-09 20:17:23,resolved,waiting_customer,resolved,T023,T023,customer,queue_access,698,workflow,2025-04-09 21:30:23
EVT-00035587,TCK-004634,2025-06-01 20:25:09,transferred,in_progress,in_progress,T007,T007,agent,queue_incident,559,workflow,2025-06-01 21:28:09
EVT-00056369,TCK-014917,2025-08-21 19:31:55,assigned,new,in_progress,T014,T014,agent,queue_performance,466,chat_platform,2025-08-21 19:55:55
EVT-00066970,TCK-020913,2025-09-30 19:59:09,reopened,resolved,in_progress,T026,T026,agent,queue_integration,324,workflow,2025-09-30 20:49:09
EVT-00038407,TCK-003090,2025-06-13 03:10:29,resolved,in_progress,resolved,T017,T017,agent,queue_billing,513,workflow,2025-06-13 04:17:29
EVT-00066060,TCK-005834,2025-09-27 12:41:43,agent_response,in_progress,in_progress,T017,T017,agent,queue_incident,336,chat_platform,2025-09-27 13:06:43
EVT-00063364,TCK-022620,2025-09-17 14:01:32,created,,new,T022,T022,agent,queue_integration,882,crm,2025-09-17 14:31:32
EVT-00114168,TCK-023348,2026-03-23 12:39:59,created,,new,T009,T009,agent,queue_integration,836,crm,2026-03-23 13:25:59
EVT-00080201,TCK-010541,2025-11-19 20:40:29,assigned,new,in_progress,T014,T014,agent,queue_integration,418,workflow,2025-11-19 21:16:29
EVT-00129587,TCK-006942,2026-05-19 03:22:54,resolved,in_progress,resolved,T004,T004,agent,queue_billing,786,crm,2026-05-19 04:37:54
EVT-00113242,TCK-016677,2026-03-19 17:19:53,resolved,in_progress,resolved,T001,T001,agent,queue_access,870,chat_platform,2026-03-19 18:05:53
EVT-00062871,TCK-008910,2025-09-15 19:22:00,transferred,in_progress,in_progress,T013,T013,system,queue_integration,206,workflow,2025-09-15 19:29:00
EVT-00058809,TCK-005791,2025-08-30 17:37:42,reopened,resolved,in_progress,T025,T025,agent,queue_consultation,235,crm,2025-08-30 18:57:42
