ticket_id,source_system,source_record_id,schema_version,load_ts,source_updated_at,created_at_utc,first_response_at_utc,resolved_at_utc,closed_at_utc,created_date,created_hour_local,created_weekday,channel,category,subcategory,priority,customer_segment,product,product_version,language,initial_team_id,team_id,region_id,description_length,attachment_count,is_vip,customer_tenure_days,prior_tickets_30d,prior_tickets_90d,previous_sla_breaches_90d,requested_callback,status,first_response_min,resolution_min,sla_target_min,sla_breached,reopen_count,escalation_count,csat
TCK-023627,crm,SRC-00023627,1.0,2025-12-15 14:07:12,2025-12-15 14:09:12,2025-12-15 13:10:12,2025-12-15 14:54:54,2025-12-16 09:16:18,2025-12-16 09:42:18,2025-12-15,16,0,email,incident,data_error,low,SMB,Core,2.1,ru,T007,T007,R02,1955,1,0,1375,4,2,2,0,closed,104.7,1206.1,1440,0.0,0,0,4.6
TCK-000424,crm,SRC-00000424,1.0,2026-06-17 14:07:03,2026-06-17 12:08:03,2026-06-17 11:24:03,2026-06-17 13:22:03,2026-06-17 20:00:15,2026-06-17 20:59:15,2026-06-17,18,2,portal,consultation,usage,medium,Enterprise,Core,2.2,ru,T019,T019,R05,257,0,0,1855,2,7,0,1,closed,118.0,516.2,720,0.0,1,0,4.3
TCK-001748,crm,SRC-00001748,1.0,2026-06-03 13:24:53,2026-06-03 13:00:53,2026-06-03 11:33:53,2026-06-03 12:59:29,2026-06-03 20:53:47,2026-06-03 22:05:47,2026-06-03,15,2,chat,performance,latency,high,SMB,Analytics,2.3,ru,T022,T022,R06,2101,1,0,1665,2,3,4,1,closed,85.6,559.9,240,1.0,0,1,
TCK-006647,crm,SRC-00006647,1.0,2025-09-03 13:26:35,2025-09-03 14:03:35,2025-09-03 13:00:35,2025-09-03 15:45:35,2025-09-04 05:12:59,2025-09-04 07:44:59,2025-09-03,16,2,chat,access,password,low,SMB,Mobile,1.6,ru,T001,T001,R01,590,1,0,1930,1,5,0,0,closed,165.0,972.4,1440,0.0,0,1,
TCK-021503,portal,SRC-00021503,1.0,2025-08-10 09:24:47,2025-08-10 10:22:47,2025-08-10 08:25:47,2025-08-10 10:15:11,2025-08-11 07:08:05,2025-08-11 12:41:05,2025-08-10,13,6,portal,access,login,low,SMB,Billing,3.2,ru,T010,T010,R03,239,0,0,780,2,4,0,0,closed,109.4,1362.3,1440,0.0,0,1,4.5
TCK-020666,portal,SRC-00020666,1.0,2026-05-29 18:39:56,2026-05-29 18:46:56,2026-05-29 17:42:56,2026-05-29 18:17:20,2026-05-29 20:18:56,2026-05-29 21:04:56,2026-05-29,20,4,email,consultation,best_practice,high,SMB,Billing,1.8,ru,T005,T005,R02,217,1,0,2599,3,2,0,1,closed,34.4,156.0,240,0.0,0,0,4.7
TCK-009888,portal,SRC-00009888,1.0,2025-11-05 18:00:44,2025-11-05 17:39:44,2025-11-05 16:02:44,2025-11-05 18:05:20,2025-11-06 11:03:20,2025-11-06 15:47:20,2025-11-05,19,2,portal,billing,invoice,low,Enterprise,Core,1.3,ru,T007,T007,R02,295,0,0,1603,1,4,0,0,closed,122.6,1140.6,1440,0.0,0,0,5.0
TCK-013413,crm,SRC-00013413,1.0,2025-11-03 18:18:02,2025-11-03 16:34:02,2025-11-03 16:00:02,2025-11-03 17:05:38,,,2025-11-03,19,0,chat,incident,degradation,medium,Enterprise,Core,2.5,ru,T001,T001,R01,526,0,0,2234,0,5,2,0,in_progress,65.6,,720,,0,0,
TCK-009381,portal,SRC-00009381,1.0,2025-05-13 06:58:53,2025-05-13 06:41:53,2025-05-13 05:57:53,2025-05-13 07:08:47,2025-05-13 13:59:17,2025-05-13 16:18:17,2025-05-13,8,1,chat,consultation,best_practice,medium,SMB,Core,2.0,ru,T003,T003,R01,133,0,0,758,1,5,0,0,closed,70.9,481.4,720,0.0,0,0,4.6
TCK-022767,crm,SRC-00022767,1.0,2026-02-26 13:11:57,2026-02-26 10:57:57,2026-02-26 10:13:57,2026-02-26 11:36:21,2026-02-26 17:50:51,2026-02-26 23:23:51,2026-02-26,17,3,portal,incident,availability,medium,SMB,Mobile,4.2,en,T017,T017,R05,2158,1,0,1959,2,4,0,0,closed,82.4,456.9,720,0.0,0,0,
TCK-009646,crm,SRC-00009646,1.0,2026-01-15 23:22:12,2026-01-16 00:17:12,2026-01-15 23:01:12,2026-01-15 23:34:06,2026-01-16 08:18:00,2026-01-16 12:08:00,2026-01-15,2,3,email,performance,timeout,high,SMB,Mobile,2.1,ru,T008,T008,R02,752,1,0,1913,3,2,0,0,closed,32.9,556.8,240,1.0,0,2,3.5
TCK-019309,portal,SRC-00019309,1.0,2026-02-01 07:12:30,2026-02-01 08:23:30,2026-02-01 06:57:30,2026-02-01 07:07:48,2026-02-01 07:46:06,2026-02-01 10:08:06,2026-02-01,13,6,email,incident,availability,critical,Enterprise,Core,4.3,ru,T017,T017,R05,193,0,1,682,0,2,2,0,closed,10.3,48.6,60,0.0,0,0,4.2
TCK-019102,crm,SRC-00019102,1.0,2025-07-11 14:42:20,2025-07-11 14:21:20,2025-07-11 13:07:20,2025-07-11 14:53:20,2025-07-12 05:21:56,2025-07-12 08:00:56,2025-07-11,16,4,portal,incident,availability,medium,SMB,Core,1.9,ru,T005,T005,R02,1596,1,1,1861,4,2,1,0,closed,106.0,974.6,720,1.0,1,0,2.2
TCK-016770,portal,SRC-00016770,1.0,2025-12-08 09:27:58,2025-12-08 09:11:58,2025-12-08 08:42:58,2025-12-08 09:24:46,2025-12-08 18:39:40,2025-12-08 22:22:40,2025-12-08,11,0,phone,incident,availability,medium,SMB,API,3.5,ru,T015,T015,R04,157,1,0,1046,1,1,0,0,closed,41.8,596.7,720,0.0,0,0,4.7
TCK-017172,crm,SRC-00017172,1.0,2025-08-08 12:25:27,2025-08-08 11:13:27,2025-08-08 10:08:27,2025-08-08 12:14:09,2025-08-08 15:13:09,2025-08-08 19:27:09,2025-08-08,14,4,portal,billing,tariff,low,Public,Core,3.8,ru,T023,T023,R06,506,0,0,876,0,4,0,0,closed,125.7,304.7,1440,0.0,0,0,4.7
TCK-014327,portal,SRC-00014327,1.0,2026-02-25 02:37:04,2026-02-25 02:40:04,2026-02-25 02:07:04,2026-02-25 03:00:04,2026-02-25 10:03:58,2026-02-25 14:13:58,2026-02-25,5,2,portal,access,permissions,medium,Enterprise,Billing,4.8,ru,T008,T008,R02,1365,1,1,1723,0,7,0,0,closed,53.0,476.9,720,0.0,0,0,4.1
TCK-021809,chat_platform,SRC-00021809,1.0,2025-01-09 18:13:58,2025-01-09 17:09:58,2025-01-09 16:11:58,2025-01-09 17:07:46,2025-01-09 21:41:04,2025-01-10 03:36:04,2025-01-09,19,3,phone,performance,latency,high,SMB,API,1.2,ru,T001,T001,R01,69,1,0,1064,3,4,0,0,closed,55.8,329.1,240,1.0,0,3,3.1
TCK-003795,chat_platform,SRC-00003795,1.0,2025-12-17 16:50:30,2025-12-17 15:55:30,2025-12-17 15:26:30,2025-12-17 16:46:48,2025-12-17 19:12:54,2025-12-17 19:49:54,2025-12-17,19,2,chat,consultation,configuration,medium,SMB,Mobile,3.9,ru,T022,T022,R06,858,0,0,2043,5,6,1,0,closed,80.3,226.4,720,0.0,1,0,4.1
TCK-014525,portal,SRC-00014525,1.0,2025-09-29 04:12:24,2025-09-29 05:15:24,2025-09-29 03:17:24,2025-09-29 03:34:42,2025-09-29 05:41:00,2025-09-29 08:13:00,2025-09-29,8,0,chat,access,password,critical,Enterprise,Core,4.9,ru,T010,T010,R03,542,0,0,1320,1,4,0,1,closed,17.3,143.6,60,1.0,1,1,
TCK-022370,portal,SRC-00022370,1.0,2025-01-13 15:02:52,2025-01-13 12:30:52,2025-01-13 12:12:52,2025-01-13 12:58:10,2025-01-13 23:28:58,2025-01-14 02:03:58,2025-01-13,15,0,portal,access,login,medium,SMB,Mobile,3.2,ru,T004,T004,R01,1270,0,0,1565,3,5,2,0,closed,45.3,676.1,720,0.0,0,0,4.9
TCK-011067,crm,SRC-00011067,1.0,2026-04-23 13:22:24,2026-04-23 11:43:24,2026-04-23 10:37:24,2026-04-23 11:44:30,2026-04-24 05:27:18,2026-04-24 09:15:18,2026-04-23,15,3,chat,integration,api,medium,SMB,API,1.4,ru,T009,T009,R03,1378,1,0,998,1,4,2,0,closed,67.1,1129.9,720,1.0,0,1,3.2
TCK-013571,portal,SRC-00013571,1.0,2025-10-02 13:14:52,2025-10-02 12:07:52,2025-10-02 12:04:52,2025-10-02 13:03:40,2025-10-02 13:03:52,2025-10-02 15:44:52,2025-10-02,15,3,chat,incident,degradation,high,SMB,Core,3.6,ru,T031,T031,R08,454,0,0,1872,1,4,1,0,closed,58.8,59.0,240,0.0,0,1,5.0
