order_id,order_date,client_id,product_id,region,channel,quantity,discount,delivery_days,unit_price,revenue,rating,is_returned,category
ORD-0000001,2026-02-07,CL-00105,PR-0012,Краснодар,mobile_app,5,0.15,6,4761.35,20171.76,4.4,0,Спорт
ORD-0000002,2026-06-23,CL-03295,PR-0353,Новосибирск,online,5,0.0,3,9596.94,47854.6,4.8,0,Электроника
ORD-0000003,2026-02-25,CL-13885,PR-0310,Москва,online,1,0.16,1,4081.29,3418.63,4.8,0,Спорт
ORD-0000004,2026-02-23,CL-01937,PR-0199,Санкт-Петербург,mobile_app,3,0.09,4,1107.79,3022.72,4.6,0,Косметика
ORD-0000005,2026-03-02,CL-14146,PR-0438,Екатеринбург,mobile_app,2,0.0,3,6640.99,13281.98,4.8,0,Электроника
ORD-0000006,2026-03-10,CL-13921,PR-0632,Самара,marketplace,1,0.21,7,4877.26,3868.35,4.2,0,Спорт
ORD-0000007,2026-03-05,CL-15206,PR-0457,Самара,offline,4,0.21,2,4085.17,12856.33,4.7,0,Одежда
ORD-0000008,2026-05-19,CL-02987,PR-0199,Новосибирск,marketplace,4,0.24,2,1378.69,4208.92,5.0,0,Косметика
ORD-0000009,2026-05-11,CL-01455,PR-0399,Санкт-Петербург,marketplace,3,0.27,1,3786.09,8244.84,4.3,0,Одежда
ORD-0000010,2026-04-18,CL-17536,PR-0376,Москва,mobile_app,2,0.09,5,4131.57,7558.32,4.6,0,Одежда
ORD-0000011,2026-02-23,CL-05883,PR-0069,Новосибирск,offline,3,0.26,4,13948.53,31030.31,5.0,0,Электроника
ORD-0000012,2026-02-09,CL-16274,PR-0108,Екатеринбург,online,5,0.1,1,9690.81,43712.64,4.8,0,Бытовая техника
ORD-0000013,2026-05-03,CL-01520,PR-0536,Нижний Новгород,marketplace,2,0.09,2,2440.09,4419.89,4.2,0,Товары для дома
ORD-0000014,2026-05-16,CL-01584,PR-0057,Нижний Новгород,marketplace,4,0.12,2,1766.43,6238.4,5.0,0,Косметика
ORD-0000015,2026-03-14,CL-09881,PR-0326,Казань,online,6,0.16,5,1818.07,9135.13,3.9,0,Товары для дома
ORD-0000016,2026-02-18,CL-09907,PR-0497,,mobile_app,4,0.07,5,1042.86,3864.57,4.1,0,Косметика
ORD-0000017,2026-03-24,CL-09340,PR-0181,Москва,mobile_app,2,0.15,2,2203.95,3736.69,4.0,0,Одежда
ORD-0000018,2026-04-11,CL-10816,PR-0268,Самара,mobile_app,3,0.16,5,14471.07,36424.86,4.8,0,Электроника
ORD-0000019,2026-01-11,CL-01709,PR-0078,Казань,online,3,0.0,6,8744.56,26233.67,3.6,1,Электроника
ORD-0000020,2026-06-04,CL-01497,PR-0262,Казань,marketplace,3,0.11,2,2151.03,5725.16,4.3,0,Косметика
ORD-0000021,2026-05-10,CL-10029,PR-0474,Казань,online,1,0.19,3,4041.78,3287.02,4.1,1,Одежда
ORD-0000022,2026-02-19,CL-16653,PR-0510,Воронеж,online,3,0.13,3,3460.7,9021.67,5.0,0,Одежда
ORD-0000023,2026-05-30,CL-16607,PR-0108,Москва,online,2,0.17,3,9501.65,15867.08,4.0,0,Бытовая техника
ORD-0000024,2026-05-18,CL-05622,PR-0050,Санкт-Петербург,marketplace,2,0.14,3,4064.61,6999.16,4.3,0,Одежда
ORD-0000025,2026-04-02,CL-05116,PR-0365,Воронеж,online,2,0.26,2,3897.0,5752.21,4.3,0,Спорт
ORD-0000026,2026-06-05,CL-01273,PR-0493,Москва,online,2,0.25,3,3249.58,4859.19,4.5,0,Одежда
ORD-0000027,2026-02-06,CL-13770,PR-0055,Москва,marketplace,3,0.06,4,2886.47,8111.73,4.0,0,Товары для дома
ORD-0000028,2026-02-27,CL-17266,PR-0124,Москва,marketplace,2,0.06,5,13762.39,25809.78,,0,Бытовая техника
ORD-0000029,2026-06-29,CL-03374,PR-0473,Новосибирск,offline,2,0.07,4,1468.81,2725.34,4.2,0,Товары для дома
ORD-0000030,2026-02-05,CL-03737,PR-0554,Москва,online,4,0.08,5,1422.44,5241.48,4.5,0,Одежда
ORD-0000031,2026-06-03,CL-01399,PR-0110,Москва,online,2,0.09,6,11490.55,20837.46,4.5,0,Бытовая техника
ORD-0000032,2026-06-05,CL-06590,PR-0256,Москва,online,3,0.27,5,8292.28,18087.37,4.3,0,Электроника
ORD-0000033,2026-03-10,CL-12493,PR-0384,Казань,MARKETPLACE ,1,0.14,2,19389.82,16727.83,4.7,0,Бытовая техника
ORD-0000034,2026-03-25,CL-09144,PR-0522,Нижний Новгород,online,4,0.27,5,2693.33,7903.49,4.7,0,Товары для дома
ORD-0000035,2026-06-18,CL-13641,PR-0139,Новосибирск,online,3,0.15,3,2309.62,5865.61,5.0,0,Косметика
ORD-0000036,2026-02-26,CL-04791,PR-0624,Москва,offline,3,0.16,4,10735.78,27062.51,,0,Электроника
ORD-0000037,2026-03-08,CL-13912,PR-0580,Москва,offline,4,0.14,3,8762.54,30154.95,4.5,0,Электроника
ORD-0000038,2026-01-02,CL-15464,PR-0503,Воронеж,online,3,0.19,4,7275.41,17620.8,4.6,0,Спорт
ORD-0000039,2026-03-06,CL-00858,PR-0617,Москва,online,2,0.14,3,4983.34,8604.33,5.0,0,Спорт
ORD-0000040,2026-02-04,CL-09464,PR-0235,Москва,mobile_app,2,0.24,4,5754.6,8747.36,4.7,0,Спорт
ORD-0000041,2026-02-06,CL-14853,PR-0650,Ростов-на-Дону,mobile_app,3,0.0,8,1939.44,5818.33,4.1,0,Одежда
ORD-0000042,2026-04-03,CL-10539,PR-0288,Екатеринбург,marketplace,7,0.09,5,8721.11,55370.75,3.9,0,Бытовая техника
ORD-0000043,2026-05-19,CL-06079,PR-0373,Самара,marketplace,2,0.03,5,871.28,1688.96,4.8,0,Косметика
ORD-0000044,2026-05-30,CL-12449,PR-0599,Санкт-Петербург,online,2,0.12,4,311.75,551.63,4.5,0,Товары для дома
ORD-0000045,2026-03-09,CL-13297,PR-0184,Казань,marketplace,2,0.07,4,3236.43,5994.58,4.0,0,Электроника
ORD-0000046,2026-04-01,CL-17055,PR-0494,Санкт-Петербург,marketplace,3,0.04,4,6306.1,18178.46,4.2,0,Спорт
ORD-0000047,2026-01-14,CL-15457,PR-0212,Воронеж,marketplace,3,0.0,3,1573.49,4720.47,4.6,0,Косметика
ORD-0000048,2026-02-19,CL-13565,PR-0522,Санкт-Петербург,online,5,0.1,5,3342.74,14988.17,4.3,0,Товары для дома
ORD-0000049,2026-02-26,CL-04649,PR-0614,Москва,mobile_app,4,0.07,5,2301.8,8602.68,3.7,0,Одежда
ORD-0000050,2026-06-17,CL-03391,PR-0440,Москва,offline,3,0.06,4,12091.72,34004.34,4.3,0,Электроника
ORD-0000051,2026-06-02,CL-01391,PR-0504,Санкт-Петербург,mobile_app,2,0.03,7,18290.67,35306.69,3.4,0,Бытовая техника
ORD-0000052,2026-03-08,CL-13612,PR-0164,Москва,marketplace,3,0.03,4,3164.56,9250.04,4.4,1,Товары для дома
ORD-0000053,2026-02-01,CL-06474,PR-0302,Санкт-Петербург,offline,5,0.18,4,13071.47,53589.63,4.3,0,Электроника
ORD-0000054,2026-01-30,CL-10092,PR-0523,Москва,marketplace,4,0.0,5,6319.53,25278.14,5.0,0,Электроника
ORD-0000055,2026-04-03,CL-03356,PR-0489,Казань,online,4,0.04,1,1045.99,4002.33,4.2,0,Косметика
ORD-0000056,2026-06-20,CL-16145,PR-0339,Екатеринбург,online,3,0.17,3,3000.13,7483.68,4.3,0,Одежда
ORD-0000057,2026-04-18,CL-14590,PR-0205,Ростов-на-Дону,mobile_app,5,0.27,4,2195.27,8031.73,4.7,0,Косметика
ORD-0000058,2026-03-13,CL-17111,PR-0411,Санкт-Петербург,marketplace,2,0.1,6,5821.12,10512.26,4.1,0,Электроника
ORD-0000059,2026-05-30,CL-10539,PR-0404,Москва,marketplace,1,0.14,6,3386.07,2913.27,4.3,0,Товары для дома
ORD-0000060,2026-03-28,CL-16947,PR-0143,Новосибирск,online,2,0.12,4,658.87,1158.67,4.5,0,Товары для дома
ORD-0000061,2026-02-09,CL-08066,PR-0068,Санкт-Петербург,marketplace,2,0.1,3,5876.6,10556.8,4.6,0,Одежда
ORD-0000062,2026-05-30,CL-11461,PR-0347,Ростов-на-Дону,marketplace,3,0.0,3,4143.14,12429.42,4.1,1,Товары для дома
ORD-0000063,2026-06-14,CL-13696,PR-0112,Москва,online,3,0.06,2,8716.91,24612.96,4.9,0,Электроника
ORD-0000064,2026-02-21,CL-13073,PR-0459,Санкт-Петербург,online,4,0.2,8,10439.25,33356.09,4.9,0,Электроника
ORD-0000065,2026-06-26,CL-13217,PR-0479,Краснодар,marketplace,3,0.2,2,2453.2,5923.61,4.4,0,Товары для дома
ORD-0000066,2026-04-06,CL-07238,PR-0233,Москва,marketplace,7,0.08,7,2636.77,16972.37,4.4,0,Косметика
ORD-0000067,2026-02-13,CL-13646,PR-0169,Казань,online,3,0.0,4,11328.08,33984.23,4.2,1,Бытовая техника
ORD-0000068,2026-06-05,CL-14954,PR-0337,Екатеринбург,offline,5,0.16,6,13987.72,58464.25,4.1,0,Бытовая техника
ORD-0000069,2026-01-26,CL-05255,PR-0296,Москва,offline,3,0.13,3,3152.2,8257.79,5.0,0,Одежда
ORD-0000070,2026-02-16,CL-00444,PR-0088,Санкт-Петербург,mobile_app,4,0.06,3,3476.68,13124.89,4.5,0,Товары для дома
ORD-0000071,2026-03-08,CL-16252,PR-0165,Новосибирск,online,3,0.19,2,10816.05,26419.11,,0,Электроника
ORD-0000072,2026-06-10,CL-08759,PR-0155,Казань,offline,2,0.08,3,2514.01,4625.24,5.0,0,Косметика
ORD-0000073,2026-06-20,CL-00995,PR-0182,Москва,online,2,0.07,5,1007.0,1875.64,4.2,0,Товары для дома
ORD-0000074,2026-02-04,CL-15709,PR-0234,Екатеринбург,OFFLINE ,5,0.12,2,9547.75,42087.39,4.6,0,Электроника
ORD-0000075,2026-01-03,CL-01112,PR-0150,Ростов-на-Дону,online,5,0.02,3,4812.22,23495.79,,0,Электроника
ORD-0000076,2026-06-03,CL-17039,PR-0117,Санкт-Петербург,marketplace,2,0.0,5,3071.09,6142.18,5.0,0,Товары для дома
ORD-0000077,2026-04-07,CL-11856,PR-0217,Новосибирск,online,3,0.23,3,2908.16,6751.46,4.3,0,Товары для дома
ORD-0000078,2026-03-12,CL-15379,PR-0294,Екатеринбург,online,3,0.07,4,7419.62,20772.66,4.4,0,Электроника
ORD-0000079,2026-01-02,CL-03705,PR-0626,Санкт-Петербург,mobile_app,3,0.15,3,7302.83,18731.07,4.7,0,Электроника
ORD-0000080,2026-04-09,CL-00286,PR-0323,Санкт-Петербург,online,3,0.26,5,686.55,1529.11,4.1,0,Одежда
ORD-0000081,2026-01-25,CL-05057,PR-0035,Нижний Новгород,online,4,0.14,5,2922.3,10059.47,,0,Товары для дома
ORD-0000082,2026-04-10,CL-12174,PR-0433,Казань,online,3,0.11,2,2045.23,5458.58,3.7,0,Товары для дома
ORD-0000083,2026-01-28,CL-11833,PR-0513,Москва,online,4,0.04,4,3164.8,12120.06,4.2,0,Одежда
ORD-0000084,2026-02-06,CL-10789,PR-0297,Санкт-Петербург,offline,1,0.23,5,702.69,540.38,,0,Косметика
ORD-0000085,2026-01-23,CL-10840,PR-0557,Самара,marketplace,3,0.12,5,3600.73,9480.19,4.9,0,Электроника
ORD-0000086,2026-02-01,CL-00139,PR-0425,Москва,online,2,0.12,5,8482.15,14907.35,4.1,0,Электроника
ORD-0000087,2026-05-07,CL-08337,PR-0431,Нижний Новгород,online,6,0.19,2,11828.62,57453.92,4.9,0,Бытовая техника
ORD-0000088,2026-05-09,CL-05260,PR-0571,Краснодар,offline,2,0.16,3,2750.9,4642.7,4.5,0,Одежда
ORD-0000089,2026-03-24,CL-15962,PR-0179,Москва,offline,4,0.15,11,9704.75,33106.87,3.2,0,Бытовая техника
ORD-0000090,2026-05-29,CL-01085,PR-0487,Ростов-на-Дону,online,3,0.15,2,1891.15,4833.76,4.9,0,Косметика
ORD-0000091,2026-06-23,CL-04788,PR-0193,Екатеринбург,online,5,0.21,3,3637.3,14453.08,4.8,1,Одежда
ORD-0000092,2026-01-25,CL-09628,PR-0205,Краснодар,online,1,0.09,4,1935.55,1769.73,4.2,0,Косметика
ORD-0000093,2026-02-11,CL-15502,PR-0081,Москва,mobile_app,2,0.09,6,3866.26,7060.17,,0,Одежда
ORD-0000094,2026-05-16,CL-11966,PR-0556,Казань,online,2,0.06,5,4754.82,8917.87,4.2,0,Электроника
ORD-0000095,2026-04-17,CL-03542,PR-0461,Казань,offline,3,0.1,3,3882.06,10428.8,4.4,0,Товары для дома
ORD-0000096,2026-02-28,CL-12786,PR-0259,Новосибирск,online,4,0.17,4,9689.13,32253.47,,0,Электроника
ORD-0000097,2026-04-15,CL-14799,PR-0217,Москва,offline,1,0.2,4,2634.3,2118.78,4.5,0,Товары для дома
ORD-0000098,2026-04-17,CL-01865,PR-0364,Казань,offline,4,0.28,3,4652.23,13419.78,4.9,0,Спорт
ORD-0000099,2026-04-17,CL-12597,PR-0557,Санкт-Петербург,online,3,0.08,4,4227.08,11685.45,4.5,0,Электроника
