order_id,order_date,region,sales_channel,product_category,customer_segment,quantity,unit_price,discount_rate,revenue,cost,return_flag
ORD-100001,2026-01-01,Ekaterinburg,online,Electronics,B2C,1,15788.09,0.02,15474.5,10735.9,0
ORD-100002,2026-01-01,Moscow,online,Electronics,B2B,2,15051.33,0.009,29824.88,20469.81,0
ORD-100003,2026-01-01,Moscow,marketplace,Office,SMB,1,8280.1,0.106,7403.67,4719.66,0
ORD-100004,2026-01-01,Saint Petersburg,online,Electronics,B2C,1,19076.08,0.082,17512.56,12971.73,0
ORD-100005,2026-01-01,Moscow,online,Software,B2B,4,11089.07,0.09,40365.55,16855.39,0
ORD-100006,2026-01-01,Novosibirsk,partner,Accessories,SMB,4,2139.17,0.1,7700.4,3850.51,0
ORD-100007,2026-01-01,Saint Petersburg,marketplace,Electronics,SMB,2,19684.16,0.131,34197.75,26770.46,0
ORD-100008,2026-01-01,Moscow,partner,Office,B2B,1,8184.1,0.131,7111.24,4664.94,0
ORD-100009,2026-01-02,Saint Petersburg,online,Accessories,Enterprise,2,2437.7,0.043,4666.24,2193.93,0
ORD-100010,2026-01-02,Ekaterinburg,online,Software,B2C,3,8525.66,0.054,24197.86,9719.25,0
ORD-100011,2026-01-02,Saint Petersburg,partner,Accessories,B2C,2,2532.48,0,5064.96,2279.23,0
ORD-100012,2026-01-03,Saint Petersburg,online,Accessories,B2C,5,1322.08,0.051,6275.72,2974.68,0
ORD-100013,2026-01-03,Ekaterinburg,marketplace,Electronics,B2B,1,15113.66,0.087,13803.71,10277.29,0
ORD-100014,2026-01-03,Novosibirsk,online,Software,B2B,1,15725.73,0.028,15288.62,5975.78,0
ORD-100015,2026-01-03,Kazan,online,Accessories,SMB,2,2598.98,0.022,5085.6,2339.08,1
ORD-100016,2026-01-04,Moscow,online,Office,Enterprise,3,9584.07,0.1,25887.6,16388.76,0
ORD-100017,2026-01-04,Ekaterinburg,marketplace,Electronics,Enterprise,2,18975.99,0.169,31535.34,25807.35,0
ORD-100018,2026-01-04,,partner,Office,Enterprise,3,8503.35,0.011,25222.81,14540.73,0
ORD-100019,2026-01-04,Saint Petersburg,marketplace,Accessories,B2C,1,2585.38,0.111,2298.6,1163.42,0
ORD-100020,2026-01-04,Ekaterinburg,online,Electronics,B2C,1,14324.74,0.112,12719.58,9740.82,0
ORD-100021,2026-01-05,Moscow,partner,Electronics,B2B,2,17128.26,0,34256.52,23294.43,0
ORD-100022,2026-01-05,Saint Petersburg,offline,Electronics,B2C,3,12159.45,0,36478.35,24805.28,0
ORD-100023,2026-01-05,Saint Petersburg,marketplace,Office,B2C,1,7802.34,0.107,6965.82,4447.33,0
ORD-100024,2026-01-05,Saint Petersburg,marketplace,Software,B2B,1,16107.43,0.128,14043.96,6120.82,0
ORD-100025,2026-01-05,Moscow,offline,Software,B2C,1,13966.89,0.084,12792.82,5307.42,0
ORD-100026,2026-01-05,Novosibirsk,offline,Home,B2C,5,8604.45,0.069,40073.73,26673.79,0
ORD-100027,2026-01-06,Moscow,online,Electronics,SMB,1,15640.57,0.082,14360.87,10635.59,0
ORD-100028,2026-01-06,Kazan,online,Software,B2B,3,12736.44,0.076,35295.35,14519.54,0
ORD-100029,2026-01-06,Rostov-on-Don,offline,Office,B2B,1,11678.04,0.099,10523.76,6656.48,0
ORD-100030,2026-01-06,Moscow,marketplace,Home,B2C,1,8234.87,0.145,7040.22,5105.62,0
ORD-100031,2026-01-07,Kazan,offline,Electronics,B2C,2,14465.77,0.069,26929.14,19673.45,0
ORD-100032,2026-01-07,Moscow,online,Electronics,B2C,2,13319.32,0.179,21878.14,18114.28,0
ORD-100033,2026-01-07,Ekaterinburg,offline,Office,Enterprise,1,10466.15,0.048,9960.94,5965.71,0
ORD-100034,2026-01-08,Moscow,offline,Office,SMB,1,8609.81,0.047,8208.53,4907.59,0
ORD-100035,2026-01-08,Novosibirsk,online,Software,B2C,1,15708.44,0.072,14584.81,5969.21,0
ORD-100036,2026-01-08,Ekaterinburg,offline,Home,B2C,1,9324.3,0.108,8319.71,5781.07,0
ORD-100037,2026-01-08,Novosibirsk,offline,Office,B2C,1,8189.44,0.15,6961.23,4667.98,0
ORD-100038,2026-01-08,Rostov-on-Don,online,Software,B2C,1,12843.55,0,12843.55,4880.55,0
ORD-100038,2026-01-08,Rostov-on-Don,online,Software,B2C,1,12843.55,0,12971.99,4880.55,0
ORD-100039,2026-01-08,Moscow,partner,Accessories,SMB,5,2846.27,0,14231.35,6404.11,1
ORD-100040,2026-01-08,Saint Petersburg,partner,Accessories,SMB,4,2632.06,0.041,10099.17,4737.71,0
ORD-100041,2026-01-08,Novosibirsk,marketplace,Electronics,B2C,3,13618.35,0.128,35617.71,27781.43,0
ORD-100042,2026-01-09,Saint Petersburg,online,Accessories,B2C,3,2181.21,0.108,5834.19,2944.63,0
ORD-100043,2026-01-09,Saint Petersburg,online,Software,SMB,1,6585.94,0.014,6491.12,2502.66,0
ORD-100044,2026-01-09,Saint Petersburg,marketplace,Accessories,B2C,5,3221.0,0.146,13746.11,7247.25,1
ORD-100045,2026-01-10,Rostov-on-Don,offline,Electronics,SMB,3,14689.0,0.037,42455.59,29965.56,0
ORD-100046,2026-01-10,Saint Petersburg,online,Accessories,SMB,3,2379.63,0.103,6405.69,3212.5,0
ORD-100047,2026-01-10,Moscow,online,Office,B2C,4,7871.86,0,31487.44,17947.84,0
ORD-100048,2026-01-10,Kazan,online,Home,B2C,1,5389.71,0.042,5163.87,3341.62,0
ORD-100049,2026-01-10,Moscow,offline,Office,Enterprise,3,9848.02,0.085,27040.49,16840.11,0
ORD-100050,2026-01-10,Saint Petersburg,marketplace,Accessories,SMB,2,2547.58,0.108,4547.22,2292.82,0
ORD-100051,2026-01-11,Ekaterinburg,offline,Accessories,SMB,2,2412.48,0.031,4673.45,2171.23,0
ORD-100052,2026-01-11,Ekaterinburg,marketplace,Electronics,SMB,4,16359.53,0.093,59382.49,44497.92,0
ORD-100053,2026-01-11,Kazan,partner,Office,B2C,1,7447.05,0.081,6844.98,4244.82,0
ORD-100054,2026-01-11,Ekaterinburg,offline,Home,SMB,4,4540.44,0.109,16187.31,11260.29,0
ORD-100055,2026-01-11,Novosibirsk,offline, electronics ,SMB,3,15147.16,0.138,39154.8,30900.21,0
