line_id,order_id,order_datetime,customer_id,loyalty_member,customer_age_group,store_id,store_name,admin_district,district,latitude,longitude,sales_channel,product_id,product_name,product_category,size,quantity,unit_price_rub,discount_pct,promo_code,payment_method,gross_revenue_rub,discount_amount_rub,net_revenue_rub,unit_cost_rub,total_cost_rub,gross_profit_rub,customer_rating
L0009212,O005740,2025-12-24 16:57:04,C00054,Да,18–24,S008,КофеТочка Хорошёво,САО,Хорошёвский,55.7764,37.5014,Касса,P012,Круассан с сыром,Выпечка,Не применимо,1,250.0,0,,Банковская карта,250.0,0.0,250.0,118.0,118.0,132.0,
L0002088,O001316,2025-06-12 14:18:07,C01272,Да,18–24,S003,КофеТочка Хамовники,ЦАО,Хамовники,55.7339,37.5747,Доставка,P002,Американо,Кофейные напитки,L,1,275.0,10,APP10,Банковская карта,275.0,27.5,247.5,86.0,86.0,161.5,
L0009416,O005872,2025-02-20 07:07:27,C01674,Да,25–34,S017,КофеТочка Кузьминки,ЮВАО,Кузьминки,55.7056,37.7656,Касса,P003,Капучино,Кофейные напитки,S,1,260.0,15,LUNCH15,СБП,260.0,39.0,221.0,92.0,92.0,129.0,
L0008622,O005367,2025-08-06 12:36:55,C02012,Да,35–44,S011,КофеТочка Бутырская,СВАО,Бутырский,55.8084,37.5811,Доставка,P004,Латте,Кофейные напитки,M,1,320.0,10,APP10,Банковская карта,320.0,32.0,288.0,119.0,119.0,169.0,
L0005027,O003141,2025-07-29 08:55:12,C00391,Да,35–44,S010,КофеТочка Марьина Роща,СВАО,Марьина Роща,55.795,37.6165,Касса,P009,Чай зелёный,Чай и другие напитки,S,1,230.0,0,,Банковская карта,230.0,0.0,230.0,58.0,58.0,172.0,
L0006922,O004318,2025-12-29 07:09:15,,Нет,,S024,КофеТочка Дорогомилово,ЗАО,Дорогомилово,55.7436,37.5657,Мобильное приложение,P009,Чай зелёный,Чай и другие напитки,M,1,280.0,0,,Банковская карта,280.0,0.0,280.0,73.0,73.0,207.0,
L0004120,O002568,2025-03-19 13:09:36,,Нет,,S021,КофеТочка Гагаринская,ЮЗАО,Гагаринский,55.7046,37.5503,Касса,P002,Американо,Кофейные напитки,S,1,200.0,0,,Банковская карта,200.0,0.0,200.0,58.0,58.0,42.0,5.0
L0001262,O000802,2025-12-18 15:17:27,,Нет,,S001,КофеТочка Арбат,ЦАО,Арбат,55.7522,37.5902,Доставка,P015,Чизкейк,Десерты,Не применимо,1,330.0,0,,Банковская карта,330.0,0.0,330.0,164.0,164.0,166.0,
L0009710,O006055,2025-09-12 15:20:07,C01188,Да,45–54,S001,КофеТочка Арбат,ЦАО,Арбат,55.7522,37.5902,Мобильное приложение,P001,Эспрессо,Кофейные напитки,M,1,200.0,0,,Банковская карта,200.0,0.0,200.0,63.0,63.0,137.0,
L0005737,O003579,2025-10-21 16:06:12,C00950,Да,18–24,S022,КофеТочка Академическая,ЮЗАО,Академический,55.6875,37.5724,Доставка,P004,Латте,Кофейные напитки,M,2,330.0,0,,Банковская карта,660.0,0.0,660.0,119.0,238.0,422.0,
L0004633,O002889,2025-11-27 20:03:59,,Нет,,S010,КофеТочка Марьина Роща,СВАО,Марьина Роща,55.795,37.6165,Касса,P004,Латте,Кофейные напитки,S,1,290.0,0,,Банковская карта,290.0,0.0,290.0,104.0,104.0,186.0,
L0002959,O001842,2025-05-08 18:05:29,C00636,Да,25–34,S015,КофеТочка Лефортово,ЮВАО,Лефортово,55.7556,37.7047,Касса,P017,Брауни,Десерты,Не применимо,1,250.0,0,,Банковская карта,250.0,0.0,250.0,118.0,118.0,132.0,
L0000263,O000168,2025-03-05 13:11:54,,Нет,,S019,КофеТочка Нагатино,ЮАО,Нагатино-Садовники,55.6788,37.6537,Доставка,P011,Круассан классический,Выпечка,Не применимо,1,190.0,0,,Банковская карта,190.0,0.0,190.0,86.0,86.0,104.0,
L0003617,O002255,2025-06-27 13:52:23,C00875,Да,45–54,S015,КофеТочка Лефортово,ЮВАО,Лефортово,55.7556,37.7047,Мобильное приложение,P004,Латте,Кофейные напитки,S,1,290.0,0,,Банковская карта,290.0,0.0,290.0,104.0,104.0,186.0,
L0006427,O004018,2025-11-04 08:33:37,,Нет,,S030,КофеТочка Зеленоград,ЗелАО,Матушкино,55.9964,37.1904,Касса,P002,Американо,Кофейные напитки,M,1,240.0,0,,Банковская карта,240.0,0.0,240.0,73.0,73.0,167.0,
L0009834,O006138,2025-08-31 12:59:56,,Нет,,S025,КофеТочка Раменки,ЗАО,Раменки,55.705,37.51,Мобильное приложение,P011,Круассан классический,Выпечка,Не применимо,1,180.0,10,APP10,Банковская карта,180.0,18.0,162.0,86.0,86.0,76.0,
L0008691,O005414,2025-03-15 08:33:09,,Нет,,S022,КофеТочка Академическая,ЮЗАО,Академический,55.6875,37.5724,Доставка,P003,Капучино,Кофейные напитки,M,1,300.0,0,,Банковская карта,300.0,0.0,300.0,107.0,107.0,193.0,4.0
L0000333,O000209,2025-12-30 20:48:05,C00875,Да,25–34,S021,КофеТочка Гагаринская,ЮЗАО,Гагаринский,55.7046,37.5503,Касса,P017,Брауни,Десерты,Не применимо,1,250.0,0,,СБП,250.0,0.0,250.0,118.0,118.0,132.0,
L0000151,O000093,2025-11-17 07:43:55,C01227,Да,25–34,S021,КофеТочка Гагаринская,ЮЗАО,Гагаринский,55.7046,37.5503,Касса,P005,Флэт уайт,Кофейные напитки,M,1,340.0,0,,Банковская карта,340.0,0.0,340.0,123.0,123.0,217.0,
L0003415,O002125,2025-01-29 11:55:21,C00732,Да,25–34,S008,КофеТочка Хорошёво,САО,Хорошёвский,55.7764,37.5014,Доставка,P005,Флэт уайт,Кофейные напитки,M,2,340.0,0,,Банковская карта,680.0,0.0,680.0,123.0,246.0,434.0,
